site,stack,block,r2_brightness,cv_pearson_brightness,cv_spearman_brightness,stability_cos_brightness,n_brightness,r2_loudness,cv_pearson_loudness,cv_spearman_loudness,stability_cos_loudness,n_loudness
transformer.transformer_blocks.0,dual,0,0.2251167143079488,0.7304178567876984,0.7571545144722315,0.10599572211503983,250,-1.0820225853505654,0.38917288543502043,0.5136093697499159,0.24501103162765503,250
transformer.transformer_blocks.1,dual,1,0.1852450863024591,0.7352874445726021,0.7492670282724524,0.0740501806139946,250,-1.87792285685391,0.38877577831595567,0.4573348053568857,0.0848962590098381,250
transformer.transformer_blocks.2,dual,2,0.2901553058550864,0.7718970391767322,0.7831356021696346,0.13355249166488647,250,-1.7567332810938836,0.36323300171594175,0.42656055296884743,0.07416801154613495,250
transformer.transformer_blocks.3,dual,3,0.12243473853456806,0.7302764148863201,0.7482286756588105,0.072641521692276,250,-3.2031075730605436,0.32885018538840494,0.3605683290932654,0.1764027625322342,250
transformer.transformer_blocks.4,dual,4,0.14079571410517228,0.7028224079729991,0.760199683194931,0.16305740177631378,250,-4.1972209723668445,0.35845979567925695,0.38929890078241247,0.1551624983549118,250
transformer.transformer_blocks.5,dual,5,-0.1447491984652392,0.6429541588114338,0.7086530024480391,0.11003698408603668,250,-5.510044796721338,0.31627864021051694,0.32244957519320305,0.15143060684204102,250
transformer.single_transformer_blocks.0,single,0,0.02467917433070561,0.6928489403611493,0.7308462535400566,0.18188729882240295,250,-7.90118158191685,0.28855458494714525,0.34312139394230307,0.04164039343595505,250
transformer.single_transformer_blocks.1,single,1,0.12422282990239406,0.7017832046310827,0.7256014976239619,0.1514904797077179,250,-6.257749654744693,0.3143238420003834,0.34187721403542454,0.08049499988555908,250
transformer.single_transformer_blocks.2,single,2,0.05030750312675958,0.6712924480212608,0.7110975855613688,0.10959567874670029,250,-6.726356102368048,0.2518647123678068,0.26398310372965966,0.052404023706912994,250
transformer.single_transformer_blocks.3,single,3,0.08090362956821939,0.6920688416388432,0.6972411078577256,0.14577630162239075,250,-4.656521167144848,0.29475534036918744,0.33156972111553784,0.08307719230651855,250
transformer.single_transformer_blocks.4,single,4,0.2104086434398146,0.7119566691862605,0.723816637066193,0.20150670409202576,250,-5.531755231871175,0.30133428291488673,0.3278141410262564,0.04943039268255234,250
transformer.single_transformer_blocks.5,single,5,0.022325278430332184,0.6845813985435374,0.6979975999615993,0.18846495449543,250,-7.724591629126368,0.2735195699973753,0.29644083905342483,0.04521751403808594,250
transformer.single_transformer_blocks.6,single,6,0.0602798274664712,0.6986327435339232,0.7112957327317236,0.1998290866613388,250,-6.1536294691730244,0.23651540118236788,0.2526449383190131,0.05720058083534241,250
transformer.single_transformer_blocks.7,single,7,0.07399624184139228,0.6751455899751274,0.6851318581097297,0.16074813902378082,250,-4.210689391977631,0.30739522721414125,0.3398435174962799,0.06499436497688293,250
transformer.single_transformer_blocks.8,single,8,0.0030183704782850594,0.6606693541884098,0.6679230067681082,0.15771229565143585,250,-6.137592632353055,0.24041652680010325,0.29046032736523786,0.0211913101375103,250
transformer.single_transformer_blocks.9,single,9,-0.24718625013558357,0.6168878905576981,0.6268581577305236,0.13656428456306458,250,-7.828620672062303,0.18877694558219896,0.2603895742331877,0.06805620342493057,250
transformer.single_transformer_blocks.10,single,10,-0.23996406090580535,0.6327985255062873,0.6454463591417462,0.18234872817993164,250,-8.029326540034022,0.1873885886792742,0.2708099649594393,0.049643781036138535,250
transformer.single_transformer_blocks.11,single,11,-0.2469509253561264,0.66601181404457,0.6891163058608937,0.1676023006439209,250,-6.280061127785784,0.2499537090671942,0.3202545960735372,0.08855617046356201,250
transformer.single_transformer_blocks.12,single,12,-0.22081617962187677,0.6382284269014034,0.6509007824125186,0.13606299459934235,250,-5.792932035482526,0.23855578217043635,0.28800883214131423,0.07028228044509888,250
transformer.single_transformer_blocks.13,single,13,-0.2775212508583399,0.625591558412209,0.6597014352229635,0.16552843153476715,250,-5.728308903835644,0.2405745025742548,0.2977372437959007,0.083016037940979,250
transformer.single_transformer_blocks.14,single,14,-0.5824017945435997,0.6258604022163765,0.6540857293716699,0.14655575156211853,250,-8.108343851676347,0.23392123189317182,0.30546037536600584,0.060508016496896744,250
transformer.single_transformer_blocks.15,single,15,-0.5102540177149408,0.629703199328493,0.6636374981999712,0.14528052508831024,250,-6.9379020182911235,0.23214935404223214,0.32596630346085537,0.06763914227485657,250
transformer.single_transformer_blocks.16,single,16,-0.39993889718410014,0.6437283036691418,0.6785983775740411,0.16035588085651398,250,-6.913434611765003,0.24547453988861714,0.3131297460759372,0.074210524559021,250
transformer.single_transformer_blocks.17,single,17,-0.32923199181966856,0.6664614246474281,0.6910025440407045,0.1854514479637146,250,-6.220129078000492,0.24755850137079394,0.3183368693899102,0.10240647196769714,250
