axis,site,scale,spectral_centroid_mean_hz_delta_mean,spectral_centroid_mean_hz_delta_median,spectral_centroid_mean_hz_abs_delta_mean,spectral_centroid_mean_hz_n,spectral_centroid_mean_hz_gap_fraction_mean,spectral_centroid_mean_hz_abs_gap_fraction_mean,rms_dbfs_delta_mean,rms_dbfs_delta_median,rms_dbfs_abs_delta_mean,rms_dbfs_n,rms_dbfs_gap_fraction_mean,rms_dbfs_abs_gap_fraction_mean,high_to_low_db_delta_mean,high_to_low_db_delta_median,high_to_low_db_abs_delta_mean,high_to_low_db_n,high_to_low_db_gap_fraction_mean,high_to_low_db_abs_gap_fraction_mean,crest_factor_db_delta_mean,crest_factor_db_delta_median,crest_factor_db_abs_delta_mean,crest_factor_db_n,crest_factor_db_gap_fraction_mean,crest_factor_db_abs_gap_fraction_mean,spectral_flatness_mean_delta_mean,spectral_flatness_mean_delta_median,spectral_flatness_mean_abs_delta_mean,spectral_flatness_mean_n,spectral_flatness_mean_gap_fraction_mean,spectral_flatness_mean_abs_gap_fraction_mean,onset_strength_max_delta_mean,onset_strength_max_delta_median,onset_strength_max_abs_delta_mean,onset_strength_max_n,onset_strength_max_gap_fraction_mean,onset_strength_max_abs_gap_fraction_mean
brightness,transformer.transformer_blocks.2,5.0,49.7301025390625,-32.40423583984375,194.87003580729166,6,0.02232248402915059,0.08747183375806239,-0.36954925595906385,0.08404229799152763,1.3190976647245767,6,-0.028648972020083183,0.10226185408052256,0.035732638014157235,-0.4361687580218354,2.479110030594718,6,0.0013233850944027459,0.0918157025119033,-0.3686448156974998,-0.3438782748103284,1.1260553829867745,6,-0.10371886137268811,0.3168176444987955,-3.4828954085242e-05,-3.08192684315145e-05,5.987826443742961e-05,6,-0.07394403917994241,0.12712528549527594,0.22812036673227945,0.09310346841812134,0.5484884977340698,6,0.04688519680280185,0.11272992205257638
brightness,transformer.transformer_blocks.2,10.0,88.878173828125,-0.317626953125,284.23876953125,6,0.039894983410902723,0.12758701610041676,-0.7424779644238839,-0.34657524222095315,1.9925355461330696,6,-0.05755993304087304,0.15446951709330697,0.6441586661670664,-0.47120349307795006,4.28229664961875,6,0.023856900151007682,0.15859807366226264,-0.1463887340270341,-0.31732679297422006,1.2026807869445773,6,-0.041186725445590565,0.33837633544549556,4.579959446952368e-06,5.137473635841161e-06,7.204470966826193e-05,6,0.00972353921278081,0.1529554066245949,0.38829100131988525,0.08516114950180054,1.0019302765528362,6,0.07980479899458166,0.20592505119893909
brightness,transformer.transformer_blocks.2,20.0,-221.76019287109375,-230.4049072265625,439.66123453776044,6,-0.09954209042255606,0.19735191333049693,-1.720818663854903,-1.80023630547851,4.1094128544074575,6,-0.13340491140882485,0.3185785168998712,-2.1654928012017134,-2.1445088875329588,7.176870375833217,6,-0.08020065280406609,0.2658007862748704,-0.46784558483315725,0.2659324291520795,2.264404708974405,6,-0.13162917065664717,0.6370942112868329,-5.279500631634922e-05,-6.805463272030465e-06,0.00012027049342577811,6,-0.11208708725524476,0.25534174974938667,-0.3814203341801961,-0.13926368951797485,1.1356743176778157,6,-0.0783926822878392,0.23341323990900656
brightness,transformer.transformer_blocks.2,40.0,-854.8255513509115,-912.9858093261719,920.9793192545573,6,-0.38370782973455525,0.41340244832773676,-4.348337480159135,-5.558723816402532,6.5332202168048035,6,-0.33710093253917334,0.5064819917078011,-4.549519426967426,-7.092886716068582,11.411831697286358,6,-0.16849486998298294,0.42264576049599434,-0.6297195041900223,-0.10166689368549386,1.7076424606181473,6,-0.17717267998245115,0.4804481823835151,-0.00010556557632905121,-8.124377927742898e-05,0.00011993728306454916,6,-0.22412229471559583,0.25463432339527986,-0.4163336356480916,-0.5101091861724854,1.0376628239949544,6,-0.08556835464803186,0.21326910181172512
brightness,transformer.transformer_blocks.2,80.0,-1518.0040995279949,-1812.4871520996094,1811.7072245279949,6,-0.681390556982704,0.8132258636156293,-10.126672872597032,-9.98256914298019,12.595055834565608,6,-0.7850611606040014,0.9764203184752902,-15.138547705920416,-18.180978432181387,19.505702950283833,6,-0.5606674877176008,0.7224083631895861,-2.203608323383302,-1.5349213412089169,2.7448335044030556,6,-0.6199890422445035,0.7722636901746102,-0.00011384987146811909,-0.0002500838845662656,0.0003288137681920489,6,-0.24171036936297682,0.6980921132053116,-0.23473904530207315,-0.09313946962356567,1.0052417318026226,6,-0.048245522720931966,0.206605649048723
loudness,transformer.transformer_blocks.2,5.0,-49.253926595052086,-16.86053466796875,82.96046956380208,6,-0.022108741660594466,0.03723868768286109,0.8042889430407332,0.16431449829412248,1.1379570120850417,6,0.06235177328509812,0.08821908872384032,-0.11703342314243377,0.3535794352189452,0.8075262679409336,6,-0.004334420752038037,0.029907342019033268,0.04325542888262405,0.05663160802553602,0.16502449689600818,6,0.012169990301923788,0.04642992980728566,-9.628457822448885e-06,7.86102464189753e-06,3.117925734841265e-05,6,-0.020441815758322282,0.0661955056511285,0.15748300155003866,0.04538816213607788,0.2325711448987325,6,0.032367217476179495,0.047799957782932424
loudness,transformer.transformer_blocks.2,10.0,-38.66485595703125,-54.8099365234375,93.44818115234375,6,-0.017355597224282517,0.04194633481175381,0.2933678704292939,0.4793293775468319,1.1686694867313259,6,0.022743078969833574,0.09060004555874292,0.5845144800397071,0.7845739308383511,0.7725899797558836,6,0.021647932907742366,0.028613450338840617,0.3539625905626396,0.42708540626635827,0.3756428147534658,6,0.09958799174273313,0.10568776060323508,1.9939560540175687e-05,2.387011772952974e-05,2.9493746599958588e-05,6,0.04233292915443401,0.06261706133388407,0.197267880042394,-0.09062889218330383,0.5011514127254486,6,0.04054413690082152,0.10300081027491188
loudness,transformer.transformer_blocks.2,20.0,-63.773173014322914,-45.01416015625,171.0852254231771,6,-0.028626034603131494,0.07679548235664053,-0.5036716135667006,-1.6243895919247668,2.533133032401193,6,-0.03904668655585381,0.1963788485517862,1.1448680229285217,1.9054909538437352,3.2924115241638776,6,0.04240104735624798,0.1219369343509431,0.8667624810761466,0.6510277427959372,0.9146950887059337,6,0.2438651346491559,0.2573510573430067,2.7341171517036855e-05,8.691589755471796e-06,5.143343878444284e-05,6,0.058047010338962673,0.10919639456665542,0.08384561538696289,-0.007340133190155029,0.48658645153045654,6,0.017232648863322764,0.10000729820128891
loudness,transformer.transformer_blocks.2,40.0,-79.36149088541667,-141.929443359375,376.959716796875,6,-0.0356232045053147,0.16920691549392494,-5.054029936172745,-6.394297612518239,5.255550744019837,6,-0.39180910229221233,0.4074318207590449,5.175298527477025,1.9527703118924042,8.882867436320389,6,0.19167106911149542,0.3289836691073422,1.0105978880976707,1.2254487836024324,2.182279893958114,6,0.2843334770917939,0.6139882514544235,8.02541762823239e-07,2.184593176934868e-05,8.804370857736406e-05,6,0.0017038461565197227,0.1869222779604122,0.0972703496615092,0.06503236293792725,1.0934641162554424,6,0.01999181200821683,0.2247378479257188
loudness,transformer.transformer_blocks.2,80.0,-795.1092732747396,-382.25970458984375,928.7862752278646,6,-0.35690282440426074,0.4169067775193676,-2.4017652170762123,-3.1341158590485643,6.528629224902343,6,-0.18619467741655393,0.5061260792105166,-0.6913807906277719,-2.766775898577191,14.853351840952058,6,-0.025605807007886516,0.5501050445938972,-3.0594315609246165,-2.595112824833972,3.0594315609246165,6,-0.860776401660161,0.860776401660161,-0.00021120054498169338,-0.00023935517583595356,0.0002508843138760615,6,-0.4483919136569447,0.5326430271055773,0.11235493421554565,0.5245064496994019,1.3653225302696228,6,0.02309212140029542,0.280612452311706
