site,stack,block,r2_brightness,cv_pearson_brightness,cv_spearman_brightness,stability_cos_brightness,n_brightness
transformer.transformer_blocks.0,dual,0,0.46608106256637294,0.7763735311426062,0.7942848365573848,0.10602279007434845,250
transformer.transformer_blocks.1,dual,1,0.4492742757366547,0.7662721868921326,0.7801272980367685,0.07403485476970673,250
transformer.transformer_blocks.2,dual,2,0.3465302095959533,0.7545894192418682,0.7778785580569288,0.1335557997226715,250
transformer.transformer_blocks.3,dual,3,0.30721845702173056,0.7421519510293323,0.7606635626170019,0.07264179736375809,250
transformer.transformer_blocks.4,dual,4,0.16959305502336952,0.7085894511802431,0.7420815053040848,0.16305920481681824,250
transformer.transformer_blocks.5,dual,5,-0.10384759136097788,0.690539182726325,0.7297049872797964,0.1100383996963501,250
transformer.single_transformer_blocks.0,single,0,0.18591063181602932,0.7334965105891362,0.7809751836029376,0.18188908696174622,250
transformer.single_transformer_blocks.1,single,1,0.09385989676318685,0.7050880324011312,0.7415116401862428,0.15149132907390594,250
transformer.single_transformer_blocks.2,single,2,-0.04370489132445996,0.6716560357041795,0.7044742475879613,0.10959544777870178,250
transformer.single_transformer_blocks.3,single,3,0.015344453933085544,0.6858363415892949,0.6993569817117073,0.14578095078468323,250
transformer.single_transformer_blocks.4,single,4,0.2345152180157463,0.7342283630925802,0.7480520328325252,0.20150744915008545,250
transformer.single_transformer_blocks.5,single,5,0.06528840014414912,0.6857585154213656,0.7204642634282148,0.18846717476844788,250
transformer.single_transformer_blocks.6,single,6,-0.03592213075782087,0.6593046312671854,0.6812134594153506,0.19982880353927612,250
transformer.single_transformer_blocks.7,single,7,0.08252231028660226,0.6800192189747565,0.7072421638746219,0.16074681282043457,250
transformer.single_transformer_blocks.8,single,8,-0.031384182304309505,0.6723763386890802,0.6767674362789805,0.1577119380235672,250
transformer.single_transformer_blocks.9,single,9,-0.07386065328016714,0.6586685446692401,0.6846050016800268,0.1365649402141571,250
transformer.single_transformer_blocks.10,single,10,-0.11529234020972183,0.6559608275852622,0.6728175490807853,0.1823505461215973,250
transformer.single_transformer_blocks.11,single,11,-0.22818532936833816,0.6329618327712172,0.6641827869245908,0.16760225594043732,250
transformer.single_transformer_blocks.12,single,12,-0.09447807657585064,0.6306838588430165,0.646449383190131,0.1360625922679901,250
transformer.single_transformer_blocks.13,single,13,-0.038684681996947815,0.6513418232272196,0.683941439063025,0.1655275821685791,250
transformer.single_transformer_blocks.14,single,14,-0.3822801096710794,0.6183893268235829,0.658090145442327,0.146556556224823,250
transformer.single_transformer_blocks.15,single,15,-0.39891110233046334,0.6284261528039946,0.681070609129746,0.14528068900108337,250
transformer.single_transformer_blocks.16,single,16,-0.47274836449316576,0.6118028664060341,0.675773628378054,0.16035597026348114,250
transformer.single_transformer_blocks.17,single,17,-0.2706791897843072,0.6400450206061182,0.6914326309220946,0.1854514479637146,250
