status,error,pair_id,site,site_slug,stack,block,output_index,direction,source_label,target_label,source_prompt,target_prompt,seed,duration,steps,guidance_scale,alpha,sample_rate,source_activation_calls,patch_calls,suffix_tokens,source_baseline_centroid_mean_hz,target_baseline_centroid_mean_hz,patched_centroid_mean_hz,patched_centroid_median_hz,target_delta_centroid_hz,signed_brightness_effect_hz,source_shift_fraction,elapsed_seconds,wav_path,distance_target_to_source_hz,distance_patched_to_source_hz,closer_to_source,toward_source,overshot_source
ok,,01,transformer.single_transformer_blocks.17,single_transformer_blocks-17,single,17,0,bright_to_dark,bright,dark,a bright cheerful piano melody,a dark somber piano melody,101,3.0,25,4.5,1.0,44100,25,25,645,1249.017822265625,919.0073852539062,1284.703857421875,1263.105712890625,365.69647216796875,365.69647216796875,1.1081360804203377,1.09,/outputs/brightness-centroid-movement-v1/01/bright-to-dark/01-bright-to-dark-single-transformer-blocks-17.wav,330.01043701171875,35.68603515625,True,True,True
ok,,01,transformer.single_transformer_blocks.17,single_transformer_blocks-17,single,17,0,dark_to_bright,dark,bright,a dark somber piano melody,a bright cheerful piano melody,101,3.0,25,4.5,1.0,44100,25,25,645,919.0073852539062,1249.017822265625,891.1575317382812,852.3511962890625,-357.86029052734375,357.86029052734375,1.0843908264472133,0.839,/outputs/brightness-centroid-movement-v1/01/dark-to-bright/01-dark-to-bright-single-transformer-blocks-17.wav,330.01043701171875,27.849853515625,True,True,True
ok,,01,transformer.single_transformer_blocks.14,single_transformer_blocks-14,single,14,0,bright_to_dark,bright,dark,a bright cheerful piano melody,a dark somber piano melody,101,3.0,25,4.5,1.0,44100,25,25,645,1249.017822265625,919.0073852539062,1242.51611328125,1230.688720703125,323.50872802734375,323.50872802734375,0.9802984746687144,0.949,/outputs/brightness-centroid-movement-v1/01/bright-to-dark/01-bright-to-dark-single-transformer-blocks-14.wav,330.01043701171875,6.501708984375,True,True,False
ok,,01,transformer.single_transformer_blocks.14,single_transformer_blocks-14,single,14,0,dark_to_bright,dark,bright,a dark somber piano melody,a bright cheerful piano melody,101,3.0,25,4.5,1.0,44100,25,25,645,919.0073852539062,1249.017822265625,892.9661865234375,857.4461669921875,-356.0516357421875,356.0516357421875,1.078910227707568,0.847,/outputs/brightness-centroid-movement-v1/01/dark-to-bright/01-dark-to-bright-single-transformer-blocks-14.wav,330.01043701171875,26.04119873046875,True,True,True
ok,,01,transformer.single_transformer_blocks.13,single_transformer_blocks-13,single,13,0,bright_to_dark,bright,dark,a bright cheerful piano melody,a dark somber piano melody,101,3.0,25,4.5,1.0,44100,25,25,645,1249.017822265625,919.0073852539062,1254.126220703125,1242.5726318359375,335.11883544921875,335.11883544921875,1.0154795056900536,0.826,/outputs/brightness-centroid-movement-v1/01/bright-to-dark/01-bright-to-dark-single-transformer-blocks-13.wav,330.01043701171875,5.1083984375,True,True,True
ok,,01,transformer.single_transformer_blocks.13,single_transformer_blocks-13,single,13,0,dark_to_bright,dark,bright,a dark somber piano melody,a bright cheerful piano melody,101,3.0,25,4.5,1.0,44100,25,25,645,919.0073852539062,1249.017822265625,879.1605224609375,844.1949462890625,-369.8572998046875,369.8572998046875,1.1207442502539815,0.828,/outputs/brightness-centroid-movement-v1/01/dark-to-bright/01-dark-to-bright-single-transformer-blocks-13.wav,330.01043701171875,39.84686279296875,True,True,True
ok,,01,transformer.transformer_blocks.1,transformer_blocks-1,dual,1,1,bright_to_dark,bright,dark,a bright cheerful piano melody,a dark somber piano melody,101,3.0,25,4.5,1.0,44100,25,25,,1249.017822265625,919.0073852539062,1202.70361328125,1189.7608642578125,283.69622802734375,283.69622802734375,0.8596583507971587,0.853,/outputs/brightness-centroid-movement-v1/01/bright-to-dark/01-bright-to-dark-transformer-blocks-1.wav,330.01043701171875,46.314208984375,True,True,False
ok,,01,transformer.transformer_blocks.1,transformer_blocks-1,dual,1,1,dark_to_bright,dark,bright,a dark somber piano melody,a bright cheerful piano melody,101,3.0,25,4.5,1.0,44100,25,25,,919.0073852539062,1249.017822265625,939.5352172851562,912.8748168945312,-309.48260498046875,309.48260498046875,0.937796415722085,0.841,/outputs/brightness-centroid-movement-v1/01/dark-to-bright/01-dark-to-bright-transformer-blocks-1.wav,330.01043701171875,20.52783203125,True,True,False
ok,,02,transformer.single_transformer_blocks.17,single_transformer_blocks-17,single,17,0,bright_to_dark,bright,dark,bright shimmering bells ringing,dark muffled bells ringing,102,3.0,25,4.5,1.0,44100,25,25,645,3518.71875,1935.193359375,3106.61474609375,3176.742919921875,1171.42138671875,1171.42138671875,0.7397553545108632,1.103,/outputs/brightness-centroid-movement-v1/02/bright-to-dark/02-bright-to-dark-single-transformer-blocks-17.wav,1583.525390625,412.10400390625,True,True,False
ok,,02,transformer.single_transformer_blocks.17,single_transformer_blocks-17,single,17,0,dark_to_bright,dark,bright,dark muffled bells ringing,bright shimmering bells ringing,102,3.0,25,4.5,1.0,44100,25,25,645,1935.193359375,3518.71875,1935.6058349609375,1972.5224609375,-1583.1129150390625,1583.1129150390625,0.9997395206995862,0.884,/outputs/brightness-centroid-movement-v1/02/dark-to-bright/02-dark-to-bright-single-transformer-blocks-17.wav,1583.525390625,0.4124755859375,True,True,False
ok,,02,transformer.single_transformer_blocks.14,single_transformer_blocks-14,single,14,0,bright_to_dark,bright,dark,bright shimmering bells ringing,dark muffled bells ringing,102,3.0,25,4.5,1.0,44100,25,25,645,3518.71875,1935.193359375,2964.368896484375,3031.86474609375,1029.175537109375,1029.175537109375,0.6499267666956516,0.875,/outputs/brightness-centroid-movement-v1/02/bright-to-dark/02-bright-to-dark-single-transformer-blocks-14.wav,1583.525390625,554.349853515625,True,True,False
ok,,02,transformer.single_transformer_blocks.14,single_transformer_blocks-14,single,14,0,dark_to_bright,dark,bright,dark muffled bells ringing,bright shimmering bells ringing,102,3.0,25,4.5,1.0,44100,25,25,645,1935.193359375,3518.71875,2010.4931640625,2055.209228515625,-1508.2255859375,1508.2255859375,0.9524479966451438,0.873,/outputs/brightness-centroid-movement-v1/02/dark-to-bright/02-dark-to-bright-single-transformer-blocks-14.wav,1583.525390625,75.2998046875,True,True,False
ok,,02,transformer.single_transformer_blocks.13,single_transformer_blocks-13,single,13,0,bright_to_dark,bright,dark,bright shimmering bells ringing,dark muffled bells ringing,102,3.0,25,4.5,1.0,44100,25,25,645,3518.71875,1935.193359375,2952.378173828125,3019.611083984375,1017.184814453125,1017.184814453125,0.6423545972014085,0.872,/outputs/brightness-centroid-movement-v1/02/bright-to-dark/02-bright-to-dark-single-transformer-blocks-13.wav,1583.525390625,566.340576171875,True,True,False
ok,,02,transformer.single_transformer_blocks.13,single_transformer_blocks-13,single,13,0,dark_to_bright,dark,bright,dark muffled bells ringing,bright shimmering bells ringing,102,3.0,25,4.5,1.0,44100,25,25,645,1935.193359375,3518.71875,2014.6883544921875,2060.385986328125,-1504.0303955078125,1504.0303955078125,0.9497987240445752,0.873,/outputs/brightness-centroid-movement-v1/02/dark-to-bright/02-dark-to-bright-single-transformer-blocks-13.wav,1583.525390625,79.4949951171875,True,True,False
