status,error,pair_id,site,site_slug,stack,block,output_index,direction,source_label,target_label,source_prompt,target_prompt,seed,duration,steps,guidance_scale,alpha,sample_rate,source_activation_calls,patch_calls,source_baseline_centroid_mean_hz,target_baseline_centroid_mean_hz,patched_centroid_mean_hz,patched_centroid_median_hz,target_delta_centroid_hz,signed_brightness_effect_hz,source_shift_fraction,elapsed_seconds,wav_path,suffix_tokens
ok,,01,transformer.transformer_blocks.0,transformer_blocks-0,dual,0,1,bright_to_dark,bright,dark,a bright cheerful piano melody,a dark somber piano melody,101,3.0,25,4.5,1.0,44100,25,25,1249.017822265625,919.0073852539062,1195.9632568359375,1180.25244140625,276.95587158203125,276.95587158203125,0.8392336742131477,0.882,,
ok,,01,transformer.transformer_blocks.0,transformer_blocks-0,dual,0,1,dark_to_bright,dark,bright,a dark somber piano melody,a bright cheerful piano melody,101,3.0,25,4.5,1.0,44100,25,25,919.0073852539062,1249.017822265625,964.6611328125,939.9332885742188,-284.356689453125,284.356689453125,0.8616596857602641,0.871,,
ok,,01,transformer.transformer_blocks.1,transformer_blocks-1,dual,1,1,bright_to_dark,bright,dark,a bright cheerful piano melody,a dark somber piano melody,101,3.0,25,4.5,1.0,44100,25,25,1249.017822265625,919.0073852539062,1202.70361328125,1189.7608642578125,283.69622802734375,283.69622802734375,0.8596583507971587,0.867,,
ok,,01,transformer.transformer_blocks.1,transformer_blocks-1,dual,1,1,dark_to_bright,dark,bright,a dark somber piano melody,a bright cheerful piano melody,101,3.0,25,4.5,1.0,44100,25,25,919.0073852539062,1249.017822265625,939.5352172851562,912.8748168945312,-309.48260498046875,309.48260498046875,0.937796415722085,0.868,,
ok,,01,transformer.transformer_blocks.2,transformer_blocks-2,dual,2,1,bright_to_dark,bright,dark,a bright cheerful piano melody,a dark somber piano melody,101,3.0,25,4.5,1.0,44100,25,25,1249.017822265625,919.0073852539062,1235.0418701171875,1217.542236328125,316.03448486328125,316.03448486328125,0.9576499692706955,0.862,,
ok,,01,transformer.transformer_blocks.2,transformer_blocks-2,dual,2,1,dark_to_bright,dark,bright,a dark somber piano melody,a bright cheerful piano melody,101,3.0,25,4.5,1.0,44100,25,25,919.0073852539062,1249.017822265625,925.8931274414062,891.7191772460938,-323.12469482421875,323.12469482421875,0.9791347744942519,0.869,,
ok,,01,transformer.transformer_blocks.3,transformer_blocks-3,dual,3,1,bright_to_dark,bright,dark,a bright cheerful piano melody,a dark somber piano melody,101,3.0,25,4.5,1.0,44100,25,25,1249.017822265625,919.0073852539062,1231.574951171875,1218.087646484375,312.56756591796875,312.56756591796875,0.9471444865450404,0.861,,
ok,,01,transformer.transformer_blocks.3,transformer_blocks-3,dual,3,1,dark_to_bright,dark,bright,a dark somber piano melody,a bright cheerful piano melody,101,3.0,25,4.5,1.0,44100,25,25,919.0073852539062,1249.017822265625,920.9839477539062,884.3509521484375,-328.03387451171875,328.03387451171875,0.9940106060950739,0.864,,
ok,,01,transformer.transformer_blocks.4,transformer_blocks-4,dual,4,1,bright_to_dark,bright,dark,a bright cheerful piano melody,a dark somber piano melody,101,3.0,25,4.5,1.0,44100,25,25,1249.017822265625,919.0073852539062,1229.4212646484375,1216.0247802734375,310.41387939453125,310.41387939453125,0.9406183701502397,0.861,,
ok,,01,transformer.transformer_blocks.4,transformer_blocks-4,dual,4,1,dark_to_bright,dark,bright,a dark somber piano melody,a bright cheerful piano melody,101,3.0,25,4.5,1.0,44100,25,25,919.0073852539062,1249.017822265625,941.168212890625,903.0914916992188,-307.849609375,307.849609375,0.9328481006922462,0.867,,
