site,direction,n,mean_target_delta_hz,median_target_delta_hz,mean_signed_brightness_effect_hz,median_signed_brightness_effect_hz,mean_source_shift_fraction,success_count
transformer.single_transformer_blocks.0,bright_to_dark,20,471.5330108642578,261.8987731933594,471.5330108642578,261.8987731933594,-3.2913316689808894,15
transformer.single_transformer_blocks.0,dark_to_bright,20,-532.7170654296875,-274.3192443847656,532.7170654296875,274.3192443847656,-5.70795444387739,14
transformer.single_transformer_blocks.1,bright_to_dark,20,462.198876953125,247.10635375976562,462.198876953125,247.10635375976562,-3.573352802881581,15
transformer.single_transformer_blocks.1,dark_to_bright,20,-528.3357177734375,-267.9602966308594,528.3357177734375,267.9602966308594,-6.762683642852929,14
transformer.single_transformer_blocks.10,bright_to_dark,20,469.9131225585937,255.68991088867188,469.9131225585937,255.68991088867188,-1.3844954760032648,14
transformer.single_transformer_blocks.10,dark_to_bright,20,-538.036865234375,-292.2381896972656,538.036865234375,292.2381896972656,-1.1581265914884846,13
transformer.single_transformer_blocks.11,bright_to_dark,20,474.1505096435547,247.86520385742188,474.1505096435547,247.86520385742188,-1.0846303922872909,14
transformer.single_transformer_blocks.11,dark_to_bright,20,-530.3701141357421,-292.18231201171875,530.3701141357421,292.18231201171875,0.013713656125423173,12
transformer.single_transformer_blocks.12,bright_to_dark,20,482.97023315429686,269.1315612792969,482.97023315429686,269.1315612792969,0.3850260317608274,14
transformer.single_transformer_blocks.12,dark_to_bright,20,-541.0949127197266,-305.3536682128906,541.0949127197266,305.3536682128906,1.9533830978077844,13
transformer.single_transformer_blocks.13,bright_to_dark,20,486.5108337402344,274.8951110839844,486.5108337402344,274.8951110839844,0.07890766292708336,13
transformer.single_transformer_blocks.13,dark_to_bright,20,-539.9456909179687,-310.924072265625,539.9456909179687,310.924072265625,2.78539282109132,13
transformer.single_transformer_blocks.14,bright_to_dark,20,495.86558532714844,272.6295471191406,495.86558532714844,272.6295471191406,0.08001380105175762,13
transformer.single_transformer_blocks.14,dark_to_bright,20,-545.1915893554688,-309.6238708496094,545.1915893554688,309.6238708496094,3.504218129712464,13
transformer.single_transformer_blocks.15,bright_to_dark,20,483.4654205322266,260.5217590332031,483.4654205322266,260.5217590332031,-0.3891520266492698,13
transformer.single_transformer_blocks.15,dark_to_bright,20,-534.7090484619141,-312.0446472167969,534.7090484619141,312.0446472167969,3.245265084449138,13
transformer.single_transformer_blocks.16,bright_to_dark,20,483.22539978027345,247.03598022460938,483.22539978027345,247.03598022460938,-0.5885831658758849,13
transformer.single_transformer_blocks.16,dark_to_bright,20,-521.5424865722656,-290.5400390625,521.5424865722656,290.5400390625,1.6572698850773264,13
transformer.single_transformer_blocks.17,bright_to_dark,20,540.7976470947266,321.3936462402344,540.7976470947266,321.3936462402344,3.4677940588458114,14
transformer.single_transformer_blocks.17,dark_to_bright,20,-562.1796417236328,-318.1407470703125,562.1796417236328,318.1407470703125,4.165613253786769,14
transformer.single_transformer_blocks.2,bright_to_dark,20,459.4850616455078,244.88223266601562,459.4850616455078,244.88223266601562,-3.954871287830001,15
transformer.single_transformer_blocks.2,dark_to_bright,20,-523.4639892578125,-262.23419189453125,523.4639892578125,262.23419189453125,-7.119708376929125,14
transformer.single_transformer_blocks.3,bright_to_dark,20,467.8488037109375,246.16384887695312,467.8488037109375,246.16384887695312,-2.7743367556204785,15
transformer.single_transformer_blocks.3,dark_to_bright,20,-527.5714111328125,-275.8499450683594,527.5714111328125,275.8499450683594,-5.577501244805498,14
transformer.single_transformer_blocks.4,bright_to_dark,20,472.11878356933596,250.68899536132812,472.11878356933596,250.68899536132812,-1.944191128153366,15
transformer.single_transformer_blocks.4,dark_to_bright,20,-525.2759582519532,-275.0982666015625,525.2759582519532,275.0982666015625,-5.309481736371724,14
transformer.single_transformer_blocks.5,bright_to_dark,20,473.8275421142578,238.90267944335938,473.8275421142578,238.90267944335938,-1.5823833323223837,15
transformer.single_transformer_blocks.5,dark_to_bright,20,-523.3728607177734,-267.3186950683594,523.3728607177734,267.3186950683594,-4.553799676711263,14
transformer.single_transformer_blocks.6,bright_to_dark,20,467.6198394775391,232.53652954101562,467.6198394775391,232.53652954101562,-2.045091982510421,15
transformer.single_transformer_blocks.6,dark_to_bright,20,-519.5675445556641,-269.85247802734375,519.5675445556641,269.85247802734375,-5.2928412230048725,13
transformer.single_transformer_blocks.7,bright_to_dark,20,467.80869445800784,242.22579956054688,467.80869445800784,242.22579956054688,-1.9224500153164914,14
transformer.single_transformer_blocks.7,dark_to_bright,20,-526.8585357666016,-277.3250732421875,526.8585357666016,277.3250732421875,-3.7594278366998695,13
transformer.single_transformer_blocks.8,bright_to_dark,20,470.1971832275391,244.11343383789062,470.1971832275391,244.11343383789062,-0.672436647674682,14
transformer.single_transformer_blocks.8,dark_to_bright,20,-532.7781860351563,-287.30084228515625,532.7781860351563,287.30084228515625,-1.9982921956918642,13
transformer.single_transformer_blocks.9,bright_to_dark,20,470.7926483154297,248.19412231445312,470.7926483154297,248.19412231445312,-0.5221976517430946,14
transformer.single_transformer_blocks.9,dark_to_bright,20,-535.9935638427735,-293.8800048828125,535.9935638427735,293.8800048828125,-0.799182028912078,13
transformer.transformer_blocks.0,bright_to_dark,20,401.4784454345703,235.83206176757812,401.4784454345703,235.83206176757812,1.9724720988222397,14
transformer.transformer_blocks.0,dark_to_bright,20,-509.9134185791016,-297.67578125,509.9134185791016,297.67578125,-3.2332083009340202,13
transformer.transformer_blocks.1,bright_to_dark,20,445.0187469482422,238.01193237304688,445.0187469482422,238.01193237304688,3.003678509861051,14
transformer.transformer_blocks.1,dark_to_bright,20,-537.5401123046875,-359.3041076660156,537.5401123046875,359.3041076660156,-2.164424025868739,13
transformer.transformer_blocks.2,bright_to_dark,20,428.74249877929685,249.04843139648438,428.74249877929685,249.04843139648438,0.3474083850956212,13
transformer.transformer_blocks.2,dark_to_bright,20,-514.149072265625,-290.9246520996094,514.149072265625,290.9246520996094,-4.812352601107734,14
transformer.transformer_blocks.3,bright_to_dark,20,434.6822265625,248.58639526367188,434.6822265625,248.58639526367188,-0.3044694291351161,13
transformer.transformer_blocks.3,dark_to_bright,20,-518.4696350097656,-302.6142883300781,518.4696350097656,302.6142883300781,-3.5344589381005656,14
transformer.transformer_blocks.4,bright_to_dark,20,434.13843688964846,248.42117309570312,434.13843688964846,248.42117309570312,-1.8838053967210562,13
transformer.transformer_blocks.4,dark_to_bright,20,-519.7490875244141,-279.10565185546875,519.7490875244141,279.10565185546875,-4.506270983165735,14
transformer.transformer_blocks.5,bright_to_dark,20,452.2989135742188,250.35824584960938,452.2989135742188,250.35824584960938,-3.3316772569095385,14
