site,n,mean_signed_brightness_effect_hz,median_signed_brightness_effect_hz,mean_source_shift_fraction,success_count
transformer.single_transformer_blocks.17,40,551.4886444091796,318.1407470703125,3.8167036563162897,28
transformer.single_transformer_blocks.14,40,520.5285873413086,293.3524169921875,1.7921159653821115,26
transformer.single_transformer_blocks.13,40,513.2282623291015,293.5548400878906,1.4321502420092018,26
transformer.single_transformer_blocks.12,40,512.0325729370118,281.81158447265625,1.1692045647843057,27
transformer.single_transformer_blocks.15,40,509.0872344970703,292.0006408691406,1.4280565288999343,26
transformer.single_transformer_blocks.10,40,503.97499389648436,290.0523376464844,-1.2713110337458748,27
transformer.single_transformer_blocks.9,40,503.3931060791016,282.6991271972656,-0.6606898403275865,27
transformer.single_transformer_blocks.16,40,502.38394317626955,274.9556884765625,0.5343433596007208,26
transformer.single_transformer_blocks.11,40,502.26031188964845,280.2303771972656,-0.5354583680809339,26
transformer.single_transformer_blocks.0,40,502.12503814697266,274.3192443847656,-4.499643056429141,29
transformer.single_transformer_blocks.8,40,501.48768463134763,277.4650573730469,-1.335364421683273,27
transformer.single_transformer_blocks.4,40,498.6973709106445,275.0982666015625,-3.6268364322625457,29
transformer.single_transformer_blocks.5,40,498.60020141601564,267.3186950683594,-3.068091504516823,29
transformer.single_transformer_blocks.3,40,497.710107421875,275.8499450683594,-4.175919000212987,29
transformer.single_transformer_blocks.7,40,497.3336151123047,270.4542541503906,-2.84093892600818,27
transformer.single_transformer_blocks.1,40,495.2672973632813,267.9602966308594,-5.168018222867255,29
transformer.single_transformer_blocks.6,40,493.59369201660155,262.3113708496094,-3.668966602757647,28
transformer.single_transformer_blocks.2,40,491.47452545166016,262.23419189453125,-5.537289832379562,29
transformer.transformer_blocks.1,40,491.27942962646483,296.58941650390625,0.4196272419961556,27
transformer.transformer_blocks.5,40,488.35374755859374,266.87725830078125,-4.743632578373289,28
transformer.transformer_blocks.4,40,476.9437622070312,279.10565185546875,-3.1950381899433955,27
transformer.transformer_blocks.3,40,476.5759307861328,294.8811340332031,-1.9194641836178412,27
transformer.transformer_blocks.2,40,471.44578552246094,287.3795471191406,-2.232472108006056,27
transformer.transformer_blocks.0,40,455.69593200683596,280.6562805175781,-0.6303681010558913,27
