job_id,pair_id,side,concept,sample_index,seed,duration,steps,guidance_scale,prompt,wav_path,sample_rate,elapsed_seconds,model_name,status,error
01-positive-sample-000-seed-301,01,positive,clear_muffled,0,301,3.0,50,4.0,a clear small bell rings once in a quiet room,/outputs/clear-muffled-v1/01/positive/01-positive-sample-000-seed-301.wav,44100,19.648,declare-lab/TangoFlux,ok,
01-negative-sample-000-seed-301,01,negative,clear_muffled,0,301,3.0,50,4.0,a muffled small bell rings once under a thick blanket,/outputs/clear-muffled-v1/01/negative/01-negative-sample-000-seed-301.wav,44100,20.378,declare-lab/TangoFlux,ok,
02-positive-sample-000-seed-302,02,positive,clear_muffled,0,302,3.0,50,4.0,a clear metal spoon taps a wine glass once,/outputs/clear-muffled-v1/02/positive/02-positive-sample-000-seed-302.wav,44100,41.529,declare-lab/TangoFlux,ok,
02-negative-sample-000-seed-302,02,negative,clear_muffled,0,302,3.0,50,4.0,a muffled metal spoon taps a wine glass wrapped in cloth once,/outputs/clear-muffled-v1/02/negative/02-negative-sample-000-seed-302.wav,44100,29.35,declare-lab/TangoFlux,ok,
03-positive-sample-000-seed-303,03,positive,clear_muffled,0,303,3.0,50,4.0,clear house keys jingle briefly close to the microphone,/outputs/clear-muffled-v1/03/positive/03-positive-sample-000-seed-303.wav,44100,21.114,declare-lab/TangoFlux,ok,
03-negative-sample-000-seed-303,03,negative,clear_muffled,0,303,3.0,50,4.0,muffled house keys jingle briefly inside a coat pocket,/outputs/clear-muffled-v1/03/negative/03-negative-sample-000-seed-303.wav,44100,20.444,declare-lab/TangoFlux,ok,
04-positive-sample-000-seed-304,04,positive,clear_muffled,0,304,3.0,50,4.0,a clear camera shutter clicks once in a quiet room,/outputs/clear-muffled-v1/04/positive/04-positive-sample-000-seed-304.wav,44100,41.258,declare-lab/TangoFlux,ok,
04-negative-sample-000-seed-304,04,negative,clear_muffled,0,304,3.0,50,4.0,a muffled camera shutter clicks once under heavy fabric,/outputs/clear-muffled-v1/04/negative/04-negative-sample-000-seed-304.wav,44100,20.716,declare-lab/TangoFlux,ok,
05-positive-sample-000-seed-305,05,positive,clear_muffled,0,305,3.0,50,4.0,clear bird chirps sound nearby in a quiet garden,/outputs/clear-muffled-v1/05/positive/05-positive-sample-000-seed-305.wav,44100,39.923,declare-lab/TangoFlux,ok,
05-negative-sample-000-seed-305,05,negative,clear_muffled,0,305,3.0,50,4.0,muffled bird chirps sound through a closed window,/outputs/clear-muffled-v1/05/negative/05-negative-sample-000-seed-305.wav,44100,39.321,declare-lab/TangoFlux,ok,
