site,stack,block,r2_brightness,cv_pearson_brightness,cv_spearman_brightness,stability_cos_brightness,n_brightness,r2_nl_brightness,nonlinearity_gain_brightness,r2_rolloff,cv_pearson_rolloff,cv_spearman_rolloff,stability_cos_rolloff,n_rolloff,r2_nl_rolloff,nonlinearity_gain_rolloff,r2_tilt,cv_pearson_tilt,cv_spearman_tilt,stability_cos_tilt,n_tilt,r2_nl_tilt,nonlinearity_gain_tilt,r2_bandwidth,cv_pearson_bandwidth,cv_spearman_bandwidth,stability_cos_bandwidth,n_bandwidth,r2_nl_bandwidth,nonlinearity_gain_bandwidth,r2_contrast,cv_pearson_contrast,cv_spearman_contrast,stability_cos_contrast,n_contrast,r2_nl_contrast,nonlinearity_gain_contrast,r2_flatness,cv_pearson_flatness,cv_spearman_flatness,stability_cos_flatness,n_flatness,r2_nl_flatness,nonlinearity_gain_flatness,r2_zcr,cv_pearson_zcr,cv_spearman_zcr,stability_cos_zcr,n_zcr,r2_nl_zcr,nonlinearity_gain_zcr,r2_attack,cv_pearson_attack,cv_spearman_attack,stability_cos_attack,n_attack,r2_nl_attack,nonlinearity_gain_attack,r2_density,cv_pearson_density,cv_spearman_density,stability_cos_density,n_density,r2_nl_density,nonlinearity_gain_density,r2_decay,cv_pearson_decay,cv_spearman_decay,stability_cos_decay,n_decay,r2_nl_decay,nonlinearity_gain_decay,r2_tail,cv_pearson_tail,cv_spearman_tail,stability_cos_tail,n_tail,r2_nl_tail,nonlinearity_gain_tail,r2_f0,cv_pearson_f0,cv_spearman_f0,stability_cos_f0,n_f0,r2_nl_f0,nonlinearity_gain_f0,r2_voiced,cv_pearson_voiced,cv_spearman_voiced,stability_cos_voiced,n_voiced,r2_nl_voiced,nonlinearity_gain_voiced,r2_hnr,cv_pearson_hnr,cv_spearman_hnr,stability_cos_hnr,n_hnr,r2_nl_hnr,nonlinearity_gain_hnr,r2_am_rate,cv_pearson_am_rate,cv_spearman_am_rate,stability_cos_am_rate,n_am_rate,r2_nl_am_rate,nonlinearity_gain_am_rate,r2_am_depth,cv_pearson_am_depth,cv_spearman_am_depth,stability_cos_am_depth,n_am_depth,r2_nl_am_depth,nonlinearity_gain_am_depth,r2_loudness,cv_pearson_loudness,cv_spearman_loudness,stability_cos_loudness,n_loudness,r2_nl_loudness,nonlinearity_gain_loudness,r2_crest,cv_pearson_crest,cv_spearman_crest,stability_cos_crest,n_crest,r2_nl_crest,nonlinearity_gain_crest
transformer.transformer_blocks.0,dual,0,0.7038251189850607,0.8620093312053524,0.901742043872702,0.8793997764587402,250,0.5770174499624195,-0.12680766902264118,0.46457100797694045,0.7202697707958984,0.7823491575865213,0.7959079742431641,250,0.41558110960773736,-0.04898989836920309,0.6404016984713732,0.8191983146603032,0.844270148322373,0.8741918206214905,250,0.4961080844291409,-0.1442936140422323,0.3127704818222304,0.6121081262804543,0.6241486103777659,0.7127049565315247,250,0.2884004269624958,-0.02437005485973459,-0.012911286605474404,0.5118970179035428,0.4835294004704075,0.6088816523551941,250,0.10165595959271108,0.11456724619818548,-0.11622758472243153,0.5436847671348395,0.5935579129266068,0.6484017372131348,250,-0.4029407531333854,-0.28671316841095384,0.671326718229061,0.8524688216589484,0.8212889166226659,0.8966581225395203,250,0.505773054395974,-0.165553663833087,-0.07137946939668997,0.28153475591116134,0.30596035136562183,0.28668227791786194,250,-0.226180960919597,-0.154801491522907,0.088977603995844,0.40505775239695413,0.3917565401046417,0.19146139919757843,250,0.023030370568292137,-0.06594723342755188,-0.19816177726496925,0.008437230702314232,0.05530034080545288,0.056994132697582245,250,-0.29691015575859103,-0.09874837849362178,-0.14511452461498586,0.06306385365776364,0.10997206355301684,0.049092985689640045,250,-0.19496208640201948,-0.04984756178703362,0.027668319748497816,0.29255631882102356,0.22773105424450715,0.3891797661781311,223,-0.15873283862222398,-0.1864011583707218,0.04957220536249538,0.45303145955784785,0.4235368885902174,0.5132990479469299,250,0.006492406624549085,-0.0430797987379463,0.031027399853887118,0.417881439838784,0.4897103633658138,0.5971755385398865,250,0.0036428801922684605,-0.02738451966161866,-0.37500636444506485,0.0014790623516757972,0.005091537464599433,0.10567358881235123,250,-0.6347634141247922,-0.25975704967972735,-0.21628256722580286,0.2935880624727267,0.38772524360389765,0.4481993019580841,250,-0.48366093308358427,-0.2673783658577814,0.1676600887746627,0.556317209876262,0.6646044256708106,0.7200003862380981,250,0.121090465335479,-0.04656962343918371,0.1368406355589499,0.5378836800896328,0.5941746267940287,0.621179461479187,250,0.012172119220271282,-0.12466851633867862
transformer.transformer_blocks.1,dual,1,0.7336925674600273,0.8754199885602115,0.91093745499928,0.8754757642745972,250,0.6360889448076266,-0.09760362265240075,0.5092675382676978,0.7467829576564252,0.8063057648922383,0.8176594972610474,250,0.5321765401814169,0.02290900191371914,0.6505968168638738,0.823820537251594,0.8548295492727883,0.8708327412605286,250,0.5384451814916341,-0.11215163537223971,0.33119723676491,0.6340838776048903,0.6487165554648874,0.7358053922653198,250,0.4061591071263953,0.07496187036148533,0.16827187357910098,0.619054910022242,0.6011581625306004,0.6698242425918579,250,0.2022732498997219,0.03400137632062092,-0.1801385984883212,0.5569969709919833,0.6156666826669226,0.6697624921798706,250,-0.21836577366980583,-0.038227175181484635,0.6919399445860133,0.8615682621358162,0.8299252148034367,0.8804274797439575,250,0.5477015688799826,-0.1442383757060307,-0.0961446077772882,0.28137198096814947,0.3112726923630778,0.2660873234272003,250,-0.1566154833674565,-0.06047087559016831,0.07179765551846803,0.3969690574073936,0.3811280180482887,0.21012456715106964,250,-0.07378884518402266,-0.14558650070249068,-0.13429079500437766,0.11355448388660655,0.17220256324101185,0.20741495490074158,250,-0.2786665543082469,-0.14437575930386923,-0.1814372063061221,0.031613673223523014,0.07409667354677675,0.043543580919504166,250,-0.22950966216496274,-0.04807245585884065,0.018969346423940103,0.2889774162190651,0.2401169988053396,0.39934349060058594,223,-0.12014865450978554,-0.13911800093372564,0.15678609968159463,0.5366313481033693,0.5242954927278836,0.574049174785614,250,0.17597138515125085,0.019185285469656227,0.15641283916242504,0.5022479312778704,0.5841152018432294,0.6220305562019348,250,0.19787264642473634,0.0414598072623113,-0.35799624025959964,0.04326740292351458,0.06373465175442806,0.17233966290950775,250,-0.4686585496832626,-0.11066230942366295,-0.14591164556834718,0.3521436309873259,0.45144568713099403,0.5141176581382751,250,-0.238259498100334,-0.09234785253198682,0.16904760325021956,0.5640250549510745,0.6621590745451926,0.7503364682197571,250,0.09206103724774961,-0.07698656600246995,0.12143623245648308,0.5435644661053951,0.5989670234723755,0.5822568535804749,250,0.05643446156399305,-0.06500177089249003
transformer.transformer_blocks.2,dual,2,0.7279241451750208,0.8733393199502287,0.9126708587337398,0.8871299028396606,250,0.6091484848339629,-0.11877566034105791,0.49984855477230106,0.7418735753640948,0.8031169778716458,0.8232911825180054,250,0.5013896249814784,0.0015410702091773754,0.6498181260807028,0.82414586390287,0.8498835501368021,0.8598470687866211,250,0.5098755028014702,-0.13994262327923257,0.3342226312099071,0.6353714472550119,0.6450147362357797,0.7449899911880493,250,0.45391067227456433,0.11968804106465725,0.12909098554898454,0.591760008946441,0.5649325589209427,0.6277915239334106,250,0.14552308344623888,0.016432097897254333,-0.1419724995372867,0.5555157507141677,0.6200481927710843,0.6708819270133972,250,-0.22876001444048918,-0.0867875149032025,0.6832538720669383,0.8597296247974396,0.8224409350549609,0.8973355889320374,250,0.5377096507149339,-0.1455442213520044,-0.08660920420676063,0.2818444086973727,0.3040288004608073,0.21329286694526672,250,-0.17542514144171342,-0.08881593723495279,0.055525889983236244,0.37976697193642167,0.36964009024144384,0.18429133296012878,250,-0.07682938066226581,-0.13235527064550207,-0.14292240132051798,0.07796627222065144,0.11452944847117554,0.1713695228099823,250,-0.28411366375182184,-0.14119126243130387,-0.19159805002715885,0.03325754849748975,0.0782746603945663,0.009877754375338554,250,-0.30041281901560407,-0.10881476898844522,0.044215430739589154,0.30993609844114206,0.24235915127170732,0.4100516438484192,223,-0.12966147455385002,-0.1738769052934392,0.08936973487459707,0.4941378668216191,0.4728655498487975,0.5192846655845642,250,0.08738175886892263,-0.0019879760056744356,0.12443311317482124,0.4706435298492848,0.5592915086641386,0.603079617023468,250,0.15330234605404375,0.02886923287922251,-0.39576566661932977,0.028002682473990792,0.04883290932654922,0.10869351774454117,250,-0.663794080468877,-0.26802841384954723,-0.239972343942763,0.2969244355660627,0.39647059952959246,0.4360979497432709,250,-0.48632234110180966,-0.24634999715904665,0.1621190587269701,0.5551805172803246,0.6472749963999423,0.7385134696960449,250,0.23689696413877312,0.07477790541180301,0.12267856808472569,0.5377572304089906,0.598414054624874,0.5874491930007935,250,0.1387334017223208,0.016054833637595106
transformer.transformer_blocks.3,dual,3,0.7658353712106223,0.8896409883128307,0.9140686410982576,0.9120587706565857,250,0.6590981066762968,-0.10673726453432553,0.5537207552546591,0.7728150805872681,0.8162545960735371,0.8586416840553284,250,0.5662373357661459,0.012516580511486741,0.6765967568431419,0.8383282135911541,0.8493628378054049,0.8751658201217651,250,0.5494191191345881,-0.12717763770855384,0.3943711905400142,0.6723327359243672,0.6629777756444103,0.7799858450889587,250,0.3963628127978001,0.00199162225778593,0.07945902710047863,0.5736285791340414,0.559812220995536,0.6408573389053345,250,0.2077507568502027,0.12829172974972408,-0.1057910520791638,0.5631674451732681,0.6118703979263668,0.749419629573822,250,-0.18245034811887045,-0.07665929603970666,0.6980834746050406,0.8630748172500194,0.8218879662074592,0.9005107283592224,250,0.5268525365366792,-0.17123093806836143,-0.03625694351136044,0.32580223298710775,0.37238496615945854,0.24584609270095825,250,-0.23861925849078597,-0.20236231497942553,0.15500258131832848,0.4640490367855318,0.43954149666394665,0.3033548891544342,250,-0.09976739583875165,-0.2547699771570801,-0.051948564773931394,0.19592056219992895,0.23125810012960207,0.19379523396492004,250,-0.12286207690713438,-0.07091351213320299,-0.1156626441745178,0.09096705294630031,0.0919875198003168,0.04119827598333359,250,-0.2842612760182507,-0.1685986318437329,0.08167538853846859,0.34355470813392663,0.24480041380265596,0.4667523205280304,223,-0.15730194222925353,-0.23897733076772212,0.07177428131375477,0.48555784776696786,0.45885777372437964,0.5618690252304077,250,0.0957101980389129,0.02393591672515813,0.20604060683572917,0.5255499637436801,0.6099280948495175,0.5690279006958008,250,0.1692197595596716,-0.036820847276057556,-0.2986143288006099,0.13342223218526728,0.14786348581577305,0.17015902698040009,250,-0.574517446083185,-0.2759031172825751,-0.16151469389608303,0.3426226052122256,0.4327653242451879,0.5440582633018494,250,-0.5067392171537647,-0.34522452325768166,0.1855876270198686,0.5703544628846693,0.6404888398214371,0.7275882363319397,250,0.2008618923360995,0.015274265316230884,0.16009130658318932,0.5504032409705751,0.5924688715019439,0.6529155373573303,250,0.011747250838088318,-0.148344055745101
transformer.transformer_blocks.4,dual,4,0.7055178074924962,0.8540056719532033,0.8820417606681706,0.896452009677887,250,0.6282751858056174,-0.07724262168687879,0.5169179100307871,0.7499373353872544,0.7823806460903373,0.8391159772872925,250,0.511944218038035,-0.004973691992752105,0.5965615656235792,0.7922637036699736,0.8034065185042961,0.8414270877838135,250,0.5163365441988966,-0.08022502142468257,0.3920739817005721,0.6699354503770882,0.6501112657802524,0.7408422827720642,250,0.3745305385107565,-0.0175434431898156,0.08471950723607938,0.5639813564700759,0.540097345557529,0.6719061136245728,250,0.1564414216475676,0.07172191441148823,-0.027102795559436198,0.5805963635194306,0.6163886142178274,0.7123329043388367,250,-0.030244640473701057,-0.0031418449142648595,0.6444093005715722,0.832238809530707,0.7762849325589208,0.8696507811546326,250,0.5207875689019394,-0.12362173166963275,0.023070104787526934,0.3825702766186462,0.41767541880670084,0.24635636806488037,250,-0.12295547436235932,-0.14602557914988626,0.17681176889875239,0.477853556245017,0.4620388806220899,0.2882359027862549,250,0.08708398602015151,-0.08972778287860088,-0.03150708492058487,0.21957425991889046,0.2412253636058177,0.19925127923488617,250,-0.1873848041017893,-0.1558777191812044,-0.12660584064062957,0.07203154547017387,0.07885604569673114,0.06321537494659424,250,-0.2401877926848286,-0.11358195204419902,0.12773248405372734,0.39754766725708285,0.2618156673649947,0.38812875747680664,223,-0.05465573569335817,-0.18238821974708552,0.09097304197583256,0.48420859180292075,0.46815993855901694,0.5927711725234985,250,0.04841005547497992,-0.04256298650085264,0.21230755880113078,0.5342557500712894,0.6052201795228723,0.6133299469947815,250,0.17538737258333398,-0.0369201862177968,-0.29266305410110766,0.06669438472849534,0.11291355061680987,0.20301496982574463,250,-0.23556114310827886,0.0571019109928288,-0.1852320551531869,0.3394250812434882,0.4275320885134161,0.5906398892402649,250,-0.426349642925251,-0.24111758777206413,0.1568056777200162,0.5434483854932047,0.5901341141458263,0.6678335070610046,250,0.04158659596487439,-0.1152190817551418,0.11922481529810418,0.5128791259051569,0.5552310276964431,0.5967904329299927,250,-0.09274689916737933,-0.21197171446548352
transformer.transformer_blocks.5,dual,5,0.6914037177667062,0.8495864353285332,0.8778676138818221,0.8878552913665771,250,0.5976359700902882,-0.09376774767641793,0.5030074226901148,0.741964259196371,0.7742435558968943,0.8332133889198303,250,0.49993504226892344,-0.0030723804211913452,0.5743966532337307,0.7789720636544035,0.8119061104977678,0.8186874985694885,250,0.47881243408733687,-0.09558421914639381,0.3855715592456284,0.6681877999406453,0.6312826765228243,0.7541477084159851,250,0.4566152726344668,0.07104371338883836,0.14861779905144104,0.5957397592216919,0.574269284308549,0.5897572636604309,250,0.15655330658514985,0.007935507533708808,-0.010478388466816434,0.5723016836048447,0.6068283972543561,0.7186738848686218,250,-0.1727981797514451,-0.16231979128462867,0.6638897772125041,0.8482000065804992,0.8096435462967406,0.9031277298927307,250,0.5579985856631283,-0.10589119154937576,-0.03352771430071681,0.32055941234447677,0.38178620457927326,0.14222101867198944,250,-0.29261150610894937,-0.25908379180823254,0.13478362146516074,0.44049464917421705,0.44213353813661016,0.3222963809967041,250,-0.13024954282670337,-0.2650331642918641,-0.054647998292397304,0.15509529552492812,0.18346239139826237,0.15169395506381989,250,-0.2532841342497587,-0.1986361359573614,-0.11301993018172433,0.04997300831505516,0.06132078913262612,0.011243673972785473,250,-0.2649518786667071,-0.15193194848498276,0.15987871012394783,0.42636670903237245,0.3061544488113995,0.48036524653434753,223,0.015019262082256079,-0.14485944804169176,0.15147617677259717,0.5323862885094633,0.5216773388374214,0.6316976547241211,250,0.1666170690725735,0.015140892299976338,0.24965193496880894,0.5534875934290175,0.6336750348005568,0.5851699113845825,250,0.21805440837066298,-0.031597526598145964,-0.3085927920032311,0.052605388953745634,0.08259012144194305,0.16323745250701904,250,-0.7463804430667829,-0.4377876510635518,-0.20053541906151023,0.3014521190483644,0.4098247971967551,0.6550271511077881,250,-0.4581522647812065,-0.2576168457196963,0.12761361062130636,0.5377961387087725,0.5690913454615274,0.7143390774726868,250,-0.03141639298420031,-0.15903000360550668,0.14156741886583762,0.5020248295835968,0.5340876494023904,0.6220518350601196,250,-0.1593304789247343,-0.3008978977905719
transformer.single_transformer_blocks.0,single,0,0.6592271420055296,0.8322059557248872,0.852941775068401,0.9014562368392944,250,0.5694407410075396,-0.08978640099798996,0.4876811780289841,0.7328273448597569,0.7550378726059616,0.8533645272254944,250,0.4637156757249171,-0.023965502304066966,0.5324788363381734,0.7548493505773672,0.785285268564297,0.8601260781288147,250,0.489690549353309,-0.042788286984864365,0.3748418554777172,0.6630674844861485,0.6211971391542264,0.7981191873550415,250,0.39256553170801267,0.01772367623029547,0.22490526760807458,0.6387346145650046,0.6063115249843997,0.6553729772567749,250,0.25806767370677164,0.033162406098697056,-0.03406676593131823,0.5753283166813693,0.6055527288436615,0.7810187935829163,250,-0.06815844492201655,-0.034091678990698315,0.6277924632983849,0.827529240726369,0.7836386502184034,0.9193042516708374,250,0.49596986816403665,-0.13182259513434824,-0.037550393078742375,0.3161124489736129,0.3648645898334373,0.13666512072086334,250,-0.27598443573359543,-0.23843404265485307,0.1352043337875753,0.43602604385774885,0.44362040992655877,0.27230679988861084,250,-0.08232114134195963,-0.2175254751295349,-0.0431939785609474,0.18492018788187684,0.19783497335957376,0.17151974141597748,250,-0.23918917615351448,-0.1959951975925671,-0.11593920573364733,0.057110134726840595,0.06408563337013393,0.03308945149183273,250,-0.33438775549677163,-0.2184485497631243,0.14938488199737465,0.4103107225052283,0.294701291618332,0.42485564947128296,223,-0.018570566042530136,-0.16795544803990478,0.18291297453190192,0.5556387270384261,0.5492336197379158,0.6752369403839111,250,0.11095483789883745,-0.07195813663306447,0.2634545478698574,0.565036454135664,0.6507133874141986,0.6342520117759705,250,0.1650546155255241,-0.09839993234433328,-0.29652712030545797,0.05547861139731762,0.10817491479863678,0.1653669774532318,250,-0.6782048428132366,-0.3816777225077786,-0.20348936063554018,0.31160833795477605,0.4152446599145586,0.5560745596885681,250,-0.49677178385411447,-0.2932824232185743,0.11770104117708749,0.5383558542883995,0.5595372725963615,0.7392575740814209,250,0.026285831674551185,-0.0914152095025363,0.1487823786501391,0.49178208030727255,0.5361697307156914,0.620445966720581,250,-0.10937599507980253,-0.25815837372994166
transformer.single_transformer_blocks.1,single,1,0.6733690339564325,0.841155916761178,0.8621264340229444,0.839346170425415,250,0.6488134812266338,-0.024555552729798702,0.5058925000313954,0.7450282166112998,0.770300580809293,0.7976394891738892,250,0.569343803102813,0.06345130307141755,0.5521695481276554,0.7647168082863907,0.7883419574713195,0.7693364024162292,250,0.5042247834515414,-0.04794476467611397,0.37617234924642456,0.6692317720698521,0.6395772092353477,0.7671497464179993,250,0.42652586947077553,0.05035352022435097,0.27552830410591866,0.6662290119432,0.6370289444631113,0.6079314947128296,250,0.20395281305673266,-0.07157549104918601,-0.0992455792210523,0.5658233367762275,0.6003056688907021,0.7851895093917847,250,-0.39165603656356607,-0.29241045734251375,0.6369147531155449,0.8343308342765823,0.7756828109249748,0.8778284788131714,250,0.5379598212978787,-0.09895493181766624,-0.037355987110110365,0.31672315607640295,0.3743610617769884,0.2438022941350937,250,-0.19219825110933897,-0.1548422639992286,0.14568170010797324,0.45217521436427727,0.4621679066865069,0.4241679906845093,250,-0.03938697566320517,-0.18506867577117841,-0.06296590311582004,0.16457972103521304,0.19913521816349058,0.12438927590847015,250,-0.24589219784350608,-0.18292629472768604,-0.13178869694728915,0.04387638037505923,0.044606537704603266,0.026119109243154526,250,-0.3263353178486953,-0.19454662090140615,0.13311951762228338,0.39946039423583585,0.2904074397908478,0.4209183156490326,223,-0.136427029072898,-0.2695465466951814,0.230993748518582,0.5902435741403093,0.5860444487111793,0.6180210709571838,250,0.17695223321413794,-0.054041515304444065,0.3282534537531696,0.6132026979140842,0.6929555992895886,0.6361137628555298,250,0.2600469478974031,-0.06820650585576649,-0.32823492450108266,0.06873501523839942,0.11942629482071712,0.11765842139720917,250,-0.5596156290218831,-0.23138070452080045,-0.09461293101584498,0.3654062577909188,0.48779494071905144,0.6435326933860779,250,-0.3223494470969101,-0.22773651608106513,0.09490323418151592,0.5245516155907827,0.5430803052848845,0.6945260167121887,250,-0.049929397062906576,-0.1448326312444225,0.164370932024154,0.5001132389554434,0.5327282676522824,0.551172137260437,250,-0.010992694779880696,-0.1753636268040347
transformer.single_transformer_blocks.2,single,2,0.6708379363380734,0.8382917623773934,0.8587348917582681,0.845068097114563,250,0.5560533682796818,-0.11478456805839166,0.4972067608280364,0.7377571537877793,0.7628954063265012,0.8009060025215149,250,0.48457448590624025,-0.012632274921796138,0.552557478436962,0.7668307605843266,0.7930283684538951,0.7566723823547363,250,0.49933561324143716,-0.05322186519552485,0.3653276724080102,0.6596590543055944,0.6231978111649786,0.7618981599807739,250,0.4410950210524775,0.07576734864446732,0.24159717286144672,0.6489247313751453,0.6249450391206258,0.5488747358322144,250,0.20363673315574787,-0.037960439705698845,-0.09995755513783502,0.5557192134270591,0.5989839197427158,0.7367178201675415,250,-0.18928987143786527,-0.08933231630003025,0.6477817740927133,0.8363765059776703,0.77930475687611,0.886773407459259,250,0.5540496846582709,-0.09373208943444244,-0.012463955880019806,0.3385651552935169,0.4005840733451735,0.11426704376935959,250,-0.19194725917042593,-0.17948330329040613,0.16686255662744698,0.4720366135361219,0.47976153218451495,0.32414257526397705,250,-0.0012143231060865122,-0.1680768797335335,-0.056681350755777585,0.1814731305731582,0.20966620265924252,0.1192115768790245,250,-0.21257675892866534,-0.15589540817288777,-0.11280244952066232,0.04623183751848805,0.04890356645706331,0.05150192230939865,250,-0.24827652044821913,-0.1354740709275568,0.11108348952384313,0.3786174630709596,0.2855746922450958,0.3588156998157501,223,-0.1956365347564987,-0.30672002428034184,0.2320768052152145,0.5885880905511071,0.5857587481399702,0.6021826267242432,250,0.16906276630814746,-0.06301403890706705,0.32406298998302624,0.6070651128099956,0.6925869533912542,0.6443817019462585,250,0.2267133880763193,-0.09734960190670694,-0.3037491021682593,0.07775196503450638,0.12284394950319204,0.12006808072328568,250,-0.5643651060140227,-0.2606160038457634,-0.0863560775610213,0.3784640706512277,0.49950328805260874,0.6307794451713562,250,-0.35452660518341367,-0.26817052762239235,0.09756666530663269,0.5255205321047728,0.5481706907310516,0.7149223685264587,250,0.021606738299955408,-0.07595992700667728,0.1941645318569913,0.5183126279577756,0.5608759180146882,0.5714674592018127,250,-0.0660559620171769,-0.26022049387416823
transformer.single_transformer_blocks.3,single,3,0.6375906870232171,0.8212967772421896,0.841645082321317,0.8584266304969788,250,0.6305659413549638,-0.007024745668253285,0.49137615037373256,0.7353614828156662,0.7509981279700474,0.8279629349708557,250,0.5523566403202086,0.060980489946476035,0.5294942446665022,0.7503131090040699,0.7789199827197235,0.8003960251808167,250,0.5179574842660836,-0.011536760400418622,0.37775543751874285,0.66815481218932,0.6273688859021743,0.7605212330818176,250,0.40653070146588305,0.028775263947140195,0.272678351191534,0.6648768251826359,0.6367900926414822,0.5728464722633362,250,0.3243672162802048,0.05168886508867082,-0.05780531787387011,0.5634438175639038,0.6077477079633273,0.7222415804862976,250,-0.12751779394993154,-0.06971247607606143,0.6093711378968624,0.8130847020236712,0.747675706811309,0.8524327874183655,250,0.6018625039123764,-0.0075086339844859795,-0.021332673080787724,0.3267474921354045,0.38484212547400753,0.20925474166870117,250,-0.24913097496963457,-0.22779830188884684,0.13583101887706622,0.4427580174663125,0.45128056448903175,0.4177221655845642,250,-0.0736489776719442,-0.20947999654901042,-0.054367366204498335,0.18260854238668886,0.20843507896126337,0.19225318729877472,250,-0.16401377775597678,-0.10964641155147845,-0.1047141596378666,0.06169298732648425,0.06607401718427494,0.026270052418112755,250,-0.2612809456581918,-0.15656678602032523,0.10498409662077719,0.3647366996941173,0.27835478816420517,0.32178550958633423,223,-0.10422992147076901,-0.20921401809154622,0.2621680584602045,0.608755978943853,0.5952882446119138,0.6576686501502991,250,0.2469368035870107,-0.015231254873193822,0.33313770576344615,0.6136579612621121,0.7010489127826045,0.5888579487800598,250,0.261884009536122,-0.07125369622732414,-0.2975436006938633,0.07711445353046754,0.14733278932462918,0.2527041435241699,250,-0.5904505653025458,-0.2929069646086825,-0.1304506486661256,0.35130952934902004,0.47197004752076027,0.5321062803268433,250,-0.44335589228947664,-0.31290524362335104,0.07907503961592052,0.5144944016190647,0.5186759468151491,0.6962921619415283,250,-0.07114026511220403,-0.15021530472812455,0.18142797608359748,0.502835178839217,0.5370798252772043,0.5481552481651306,250,-0.11471199694246645,-0.29613997302606393
