site,stack,block,r2_brightness,cv_pearson_brightness,cv_spearman_brightness,stability_cos_brightness,n_brightness,r2_rolloff,cv_pearson_rolloff,cv_spearman_rolloff,stability_cos_rolloff,n_rolloff,r2_tilt,cv_pearson_tilt,cv_spearman_tilt,stability_cos_tilt,n_tilt,r2_attack,cv_pearson_attack,cv_spearman_attack,stability_cos_attack,n_attack,r2_density,cv_pearson_density,cv_spearman_density,stability_cos_density,n_density,r2_decay,cv_pearson_decay,cv_spearman_decay,stability_cos_decay,n_decay,r2_tail,cv_pearson_tail,cv_spearman_tail,stability_cos_tail,n_tail,r2_loudness,cv_pearson_loudness,cv_spearman_loudness,stability_cos_loudness,n_loudness
transformer.transformer_blocks.0,dual,0,0.5219720475194695,0.7645728313419351,0.789203667258676,0.926192581653595,250,0.3121541142887792,0.6071987910152619,0.6779601593625498,0.8199523687362671,250,0.4515822857343654,0.7085916097019832,0.7475605049680795,0.825568437576294,250,-0.04526780470167804,0.2992224248726511,0.311039216627466,0.3372635841369629,250,0.12342596385062947,0.4306503842342326,0.43209945759132146,0.2715280055999756,250,-0.22205945182665174,-0.027693967384312755,0.030717803484855755,0.04145213961601257,250,-0.23748316829880212,-0.02403653203078026,0.026578985263764218,0.0700003057718277,250,0.13519063017467775,0.41345215513197797,0.5555021360341765,0.7174206376075745,250
transformer.transformer_blocks.1,dual,1,0.5596630383583054,0.7861183531675805,0.8127993087889406,0.9369015097618103,250,0.3593034841442743,0.6428071045624594,0.7196255940095041,0.8285436034202576,250,0.46978961146426934,0.7220514703071381,0.7625889694235107,0.8451622724533081,250,-0.07029485393686141,0.2887063066450935,0.29762665002640043,0.3036368191242218,250,0.06861934819514166,0.38097824500245075,0.38008966543464695,0.20269811153411865,250,-0.19598052139511438,0.03932620928285517,0.10356146498343972,0.10711148381233215,250,-0.15474993608447987,0.023425782163329075,0.06055200883214131,0.07725962996482849,250,0.14395734632376325,0.4199972189633994,0.5399176306820909,0.7254579663276672,250
transformer.transformer_blocks.2,dual,2,0.5323519727803964,0.7703541780918469,0.7938486055776891,0.9179838299751282,250,0.32473052825994625,0.6184235271368401,0.6904134786156577,0.8084189891815186,250,0.4588950870706444,0.7137430112943237,0.7485197523160371,0.850230872631073,250,-0.09495461693866673,0.2461566898498384,0.25399126386022175,0.22095750272274017,250,0.026250701472562123,0.33474611385176073,0.34847213555416884,0.10169962048530579,250,-0.17644091029033065,0.01863899495636284,0.07440848653578457,0.11032509803771973,250,-0.17129012347204262,-0.0016776895307910608,0.03888407814525032,0.07976768910884857,250,0.1237036944218121,0.41400732985291755,0.5458428454855278,0.8251911401748657,250
transformer.transformer_blocks.3,dual,3,0.5912024223503729,0.7962631024443793,0.8211529784476551,0.9209668636322021,250,0.42447753967270774,0.6828113678988623,0.7361125138002207,0.8385412096977234,250,0.48576864189138086,0.731569426703081,0.7456973071569144,0.854369044303894,250,-0.02845019572750702,0.3286093174737504,0.3647355637690203,0.34884828329086304,250,0.15383050081895092,0.4551581001531022,0.45486718187490993,0.2674977481365204,250,-0.08162221649272161,0.14903475788299633,0.19359247347957564,0.3252752423286438,250,-0.0868597723762438,0.08906543692361063,0.08120923534776556,0.01953050121665001,250,0.1485402124605505,0.451047724012457,0.5604719435510968,0.7622231841087341,250
transformer.transformer_blocks.4,dual,4,0.5339616423962266,0.7675619348875227,0.7812654922478759,0.9268299341201782,250,0.36445873504295284,0.6481932377062946,0.6970444967119473,0.8614397048950195,250,0.41716922760518205,0.6921655803723236,0.7040940815053041,0.8107936382293701,250,0.011501860394013552,0.3769972113497181,0.3803638458215331,0.3554215431213379,250,0.16644110390358308,0.46450200441928363,0.46932578121249935,0.2747330963611603,250,-0.02175786212277462,0.22897579712170338,0.24904833677338833,0.3019849359989166,250,-0.08115562235906457,0.07959407546980438,0.06560168962703403,0.00796815287321806,250,0.09494716528588724,0.4049533928068095,0.5298221091537464,0.7708097696304321,250
transformer.transformer_blocks.5,dual,5,0.5067194331603606,0.7473316486187336,0.7594362789804636,0.9120126366615295,250,0.3534474473025436,0.6405925610786033,0.6919203187250995,0.8108097910881042,250,0.36849485164726814,0.654870286903971,0.676242115873854,0.8290883898735046,250,0.006016628877615493,0.35934682821075814,0.3708220611529784,0.2228052020072937,250,0.17905734686013036,0.47455776047111864,0.4752678922862765,0.3188592493534088,250,-0.03809380678180359,0.17963563658972834,0.19475524408390535,0.21854813396930695,250,-0.11140674479312232,0.012009245940711323,0.025634330149282385,0.018291374668478966,250,0.11039850822032411,0.42073681876018587,0.5517419478711659,0.7041822671890259,250
transformer.single_transformer_blocks.0,single,0,0.4886920247096782,0.7378396042872651,0.7461550424806797,0.9077320694923401,250,0.34089617217010293,0.6301737472998022,0.6799969279508472,0.8156150579452515,250,0.3614531858244919,0.6502065379730768,0.6624754956079297,0.8100032210350037,250,-0.013253000562076367,0.33954123719975277,0.36578697259156145,0.24539901316165924,250,0.16282348505192448,0.4594372668710084,0.4638475495607929,0.2433697134256363,250,-0.04982332544355357,0.18174372342679018,0.20398905582489318,0.2985164225101471,250,-0.12293139849766895,0.00499628347141671,0.023642874285988574,0.02127193473279476,250,0.10699194387332031,0.4199614812862067,0.5403484855757691,0.7777498364448547,250
transformer.single_transformer_blocks.1,single,1,0.5035268317016277,0.7435044262433702,0.7574563433014928,0.8698747754096985,250,0.35889218045756505,0.641397739078152,0.6896416262660203,0.81309574842453,250,0.38515440231017617,0.6613385796578242,0.6810683050928814,0.7553864121437073,250,-0.04288272824727055,0.32779623354976284,0.3478208611337781,0.39095696806907654,250,0.1511941421397844,0.45241235638854255,0.45659444151106404,0.394930362701416,250,-0.043746484595647006,0.19595486527006012,0.23353986463783422,0.3284701406955719,250,-0.12681986218156807,0.010142459652592736,0.02955810492967887,0.1561036854982376,250,0.089815770251726,0.40757677654098184,0.5116639946239139,0.7122194170951843,250
transformer.single_transformer_blocks.2,single,2,0.5048894693895132,0.7409452996208519,0.7576806028896462,0.9063657522201538,250,0.3591195201014714,0.6388961752361453,0.6913274132386118,0.8660524487495422,250,0.37628171388357207,0.6541906684868273,0.6814699755196082,0.7707573175430298,250,-0.0025329934952081023,0.3470270164343931,0.38061268180290886,0.35904666781425476,250,0.1681575586816189,0.46912148091614686,0.47718715499447983,0.4284714162349701,250,-0.05801783808264205,0.18244566442790328,0.21576268420294722,0.2747120261192322,250,-0.1181437095888006,-0.0012102598079109085,0.02622953967263476,0.15879406034946442,250,0.08357437062563437,0.3976691908648279,0.4970180002880046,0.6609878540039062,250
transformer.single_transformer_blocks.3,single,3,0.49452921433271346,0.7390950320209914,0.7482156194499111,0.9094491600990295,250,0.3328940708689784,0.6203996920840191,0.6745893534296548,0.8443530797958374,250,0.38183669783478313,0.655886805999834,0.6793955743291892,0.7748048305511475,250,0.03332290418076807,0.3626703195046825,0.39628858061728983,0.46529826521873474,250,0.19223996857888562,0.4881992258719393,0.4943460855373686,0.4858945608139038,250,-0.02730440977419646,0.19889379697705803,0.22379225267604277,0.31771910190582275,250,-0.11344927870511182,-0.017065535410159354,0.03591724667594681,0.12169644981622696,250,0.07665238883199024,0.3695418670261984,0.4375385206163298,0.6602964997291565,250
