site,stack,block,r2_am_depth,cv_pearson_am_depth,cv_spearman_am_depth,stability_cos_am_depth,n_am_depth,r2_am_rate,cv_pearson_am_rate,cv_spearman_am_rate,stability_cos_am_rate,n_am_rate,r2_attack,cv_pearson_attack,cv_spearman_attack,stability_cos_attack,n_attack,r2_bandwidth,cv_pearson_bandwidth,cv_spearman_bandwidth,stability_cos_bandwidth,n_bandwidth,r2_brightness,cv_pearson_brightness,cv_spearman_brightness,stability_cos_brightness,n_brightness,r2_contrast,cv_pearson_contrast,cv_spearman_contrast,stability_cos_contrast,n_contrast,r2_crest,cv_pearson_crest,cv_spearman_crest,stability_cos_crest,n_crest,r2_decay,cv_pearson_decay,cv_spearman_decay,stability_cos_decay,n_decay,r2_density,cv_pearson_density,cv_spearman_density,stability_cos_density,n_density,r2_f0,cv_pearson_f0,cv_spearman_f0,stability_cos_f0,n_f0,r2_flatness,cv_pearson_flatness,cv_spearman_flatness,stability_cos_flatness,n_flatness,r2_hnr,cv_pearson_hnr,cv_spearman_hnr,stability_cos_hnr,n_hnr,r2_loudness,cv_pearson_loudness,cv_spearman_loudness,stability_cos_loudness,n_loudness,r2_rolloff,cv_pearson_rolloff,cv_spearman_rolloff,stability_cos_rolloff,n_rolloff,r2_tail,cv_pearson_tail,cv_spearman_tail,stability_cos_tail,n_tail,r2_tilt,cv_pearson_tilt,cv_spearman_tilt,stability_cos_tilt,n_tilt,r2_voiced,cv_pearson_voiced,cv_spearman_voiced,stability_cos_voiced,n_voiced,r2_zcr,cv_pearson_zcr,cv_spearman_zcr,stability_cos_zcr,n_zcr
transformer.transformer_blocks.0,dual,0,-1.8265582084885956,0.3104148856497017,0.3338084769356309,0.06823469698429108,250,-1.8956896715480565,0.19098621997941748,0.12582153314453032,0.04548431187868118,250,-1.3521368784581274,0.19097256041068902,0.1317590361445783,0.0428009033203125,250,-0.3712465608709542,0.5608226155622413,0.6394658474535593,0.22999297082424164,250,0.2251167143079488,0.7304178567876984,0.7571545144722315,0.10599572211503983,250,-0.027470916565784466,0.6181999774993427,0.6304086785388565,0.12719357013702393,250,-0.7949353348505455,0.439045191181126,0.48482810924974795,0.020015889778733253,250,-1.0550810492762306,0.08957657697088943,0.07411049776796427,0.06828001141548157,250,-1.126713260222371,0.15009899694214704,0.16125608409734554,0.06176157668232918,250,-0.9469538770824911,0.18159445598363344,0.1837428796509514,0.06292469054460526,223,-4.333568348260528,0.42627237867042217,0.4914107425718811,0.14070861041545868,250,-0.4515576252649329,0.40524081188517264,0.4483882302116833,0.10002254694700241,250,-1.0820225853505654,0.38917288543502043,0.5136093697499159,0.24501103162765503,250,0.16386384806616078,0.673831850194286,0.7271736187779003,0.2507195770740509,250,-1.3676733045292047,-0.032512212981925234,0.010290212643402293,0.05682704597711563,250,0.043829674849950595,0.6297275763159947,0.6479907838525416,0.05459701269865036,250,-0.4122739617610901,0.44094775310235595,0.4465089041424662,0.19914783537387848,250,-0.21880644708544397,0.6215880463311959,0.5609880478087649,0.0549919530749321,250
transformer.transformer_blocks.1,dual,1,-2.114833262956902,0.30530222268009344,0.33674535592569477,0.06474046409130096,250,-2.7530103241192436,0.19822315604177013,0.1539469111505784,0.014123070985078812,250,-1.9314358363678927,0.19902627186084793,0.1473796380742092,0.023521587252616882,250,-0.1988518973628516,0.6256221578737753,0.6568267652282436,0.2926942706108093,250,0.1852450863024591,0.7352874445726021,0.7492670282724524,0.0740501806139946,250,-0.025641975853777765,0.6208428597934871,0.6353631258100129,0.13220222294330597,250,-1.2196097802334886,0.36901173829993383,0.38257264916238654,0.0010152198374271393,250,-1.4369528418986384,0.12824896621623913,0.1532664522632362,0.06678354740142822,250,-2.04707755436766,0.06225738793226942,0.04767474679594873,0.07619412988424301,250,-1.323617241826368,0.16314843714772667,0.13376733556105752,0.05526049807667732,223,-2.397314334073963,0.5372966026697935,0.5189578073249171,0.3030831813812256,250,-0.7551447765171749,0.41378837406674984,0.4339956799308789,0.0827021449804306,250,-1.87792285685391,0.38877577831595567,0.4573348053568857,0.0848962590098381,250,0.23782954303252088,0.7175646401477733,0.7521263380214083,0.287788450717926,250,-1.6817959871198969,-0.003657379850417172,0.044528200451207214,0.06159133464097977,250,0.04730589609954905,0.64925728155852,0.6535373685978976,0.03729410469532013,250,-0.8169535823619747,0.3968203530819656,0.38477838045408724,0.019363556057214737,250,-0.404315973426865,0.6188175345608715,0.5647820285124562,0.010552680119872093,250
transformer.transformer_blocks.2,dual,2,-2.388674030005066,0.28724802338005223,0.3424370949935199,0.03605092316865921,250,-3.0190529410809535,0.16851465590039472,0.14888571017136273,0.013418259099125862,250,-1.5703857125616174,0.2545166795966082,0.18740075841213458,0.043469611555337906,250,-0.017125269272337727,0.6417334092548479,0.6725594969519512,0.23450890183448792,250,0.2901553058550864,0.7718970391767322,0.7831356021696346,0.13355249166488647,250,-0.05587633007962123,0.6432888348840936,0.6504177026832428,0.13593611121177673,250,-1.1403777706391747,0.3861781782177327,0.41137003792060667,0.02592400647699833,250,-1.4412777978525262,0.1220027245861487,0.1439527672442759,0.029089899733662605,250,-1.8057232808582568,0.09479925954699445,0.08052416838669418,0.06335083395242691,250,-1.1589832068253043,0.1915782831739641,0.1613256834669391,0.01677037961781025,223,-2.199867221873979,0.48167071585594406,0.4957407958527337,0.20439904928207397,250,-0.8223883669038983,0.41876691124205906,0.4554877358037728,0.08772484213113785,250,-1.7567332810938836,0.36323300171594175,0.42656055296884743,0.07416801154613495,250,0.2264980596011988,0.7260142480595507,0.7582627562040993,0.2500220835208893,250,-1.9007212164295428,-0.013701723470950477,0.007419382710123361,0.005947323516011238,250,0.18608543834665195,0.6961522848764933,0.6936145538328613,0.020052378997206688,250,-1.1122173915378475,0.36799221858266457,0.3682592041472663,0.005513324402272701,250,0.028588491151969708,0.6991005676985714,0.6176266500264004,0.038370274007320404,250
transformer.transformer_blocks.3,dual,3,-1.9478898624744647,0.3929425862544791,0.41261882590121435,0.030961647629737854,250,-3.4465780109306023,0.13952377076488584,0.12836672586761386,0.02163827419281006,250,-2.027276759767008,0.23691946964750416,0.2924279748475975,0.08569476008415222,250,-0.5170280134092782,0.5727229287248378,0.5938505256084097,0.18082349002361298,250,0.12243473853456806,0.7302764148863201,0.7482286756588105,0.072641521692276,250,-0.44028519081411854,0.5215733913433369,0.5459526712427398,0.13969027996063232,250,-0.9812603404995283,0.3740304904774621,0.37963193011088175,0.14168643951416016,250,-2.055092467988416,0.03589139787628075,0.056880910094561504,0.08907990157604218,250,-0.9205783439734108,0.31507170333747536,0.3343990783852542,0.1532876044511795,250,-1.5920925677020166,0.15096299934521273,0.11638416122721056,0.05771932750940323,223,-3.1828727353029493,0.45860042286220504,0.4493904862477799,0.13756151497364044,250,-1.2519120575942784,0.3406862622170326,0.3690372005952095,0.12615221738815308,250,-3.2031075730605436,0.32885018538840494,0.3605683290932654,0.1764027625322342,250,0.04955957933840867,0.6853808570042808,0.6995727931646906,0.17059530317783356,250,-2.5995452014063805,-0.032905668999085855,0.0019012144194307105,0.010334276594221592,250,-0.3961264367135414,0.5455897115162044,0.5413584217347477,0.03824944049119949,250,-1.106629817690655,0.3676895156439795,0.3734993519896318,0.015169469639658928,250,-0.6980752465139318,0.5750271649620647,0.5011813949023184,0.04578898474574089,250
transformer.transformer_blocks.4,dual,4,-2.5300174934457056,0.36887979170489493,0.37285345365525846,0.07623997330665588,250,-3.9218857959144744,0.16125869137163118,0.1819801276820429,0.004229726269841194,250,-2.317809188216839,0.20490185821138895,0.1720097921566745,0.1153828576207161,250,-1.2240845613585916,0.5026133979444457,0.5525575769212308,0.2298317849636078,250,0.14079571410517228,0.7028224079729991,0.760199683194931,0.16305740177631378,250,-0.23765130894918896,0.6116208036581398,0.5878592617481879,0.12735745310783386,250,-1.0340600248332021,0.41039021813982274,0.41835050160802567,0.06994810700416565,250,-2.312442647096568,0.10743031900683267,0.1443598137570201,0.003565404564142227,250,-1.8042545714237797,0.1642969445447883,0.17389910238563816,0.0745597556233406,250,-1.784051006847049,0.179088735669984,0.12658205931748534,0.010185588151216507,223,-6.103343303702835,0.3753391325381613,0.36881140498247966,0.09205407649278641,250,-1.0538485759034681,0.4086693375280726,0.4344411270580329,0.14030054211616516,250,-4.1972209723668445,0.35845979567925695,0.38929890078241247,0.1551624983549118,250,-0.3050531673399145,0.5970781249031534,0.6443665338645418,0.23245137929916382,250,-3.332507418215131,-0.07588047721889819,-0.06901780828493255,0.0389535054564476,250,-0.296151498618021,0.5415625044291978,0.5827174194787117,0.09181945025920868,250,-0.8932344212296911,0.410246792125927,0.3931036336581385,0.00350287277251482,250,-0.5055871358565565,0.6039724700871081,0.5212088513416214,0.08036265522241592,250
transformer.transformer_blocks.5,dual,5,-2.518560813524806,0.41812190964121215,0.4684057024912398,0.1415657103061676,250,-5.106351907459991,0.09250370315716136,0.11513694619113905,0.0050320103764534,250,-2.0541340609065006,0.2551939458668449,0.2740425286804588,0.16023118793964386,250,-0.664841428619387,0.5643449693354105,0.5943028848461575,0.2325354963541031,250,-0.1447491984652392,0.6429541588114338,0.7086530024480391,0.11003698408603668,250,-1.1033728057654568,0.5688092801494645,0.5745672730763691,0.16245083510875702,250,-1.9904459418422853,0.31898244640198226,0.30566236259780155,0.01249376405030489,250,-2.390982537983581,0.07177566083893593,0.1192458119329909,0.06714041531085968,250,-1.732099943523752,0.1953803979381637,0.20622627562040993,0.06516306847333908,250,-2.2048431060273623,0.18942969284057293,0.1381639887805807,0.00272560678422451,223,-5.791637051125506,0.42296714441115774,0.466867373877982,0.12950201332569122,250,-1.862353498746094,0.38564538660089115,0.42924859597753556,0.12302950769662857,250,-5.510044796721338,0.31627864021051694,0.32244957519320305,0.15143060684204102,250,-0.101289026824589,0.6393779096928646,0.6708268612297796,0.2168261855840683,250,-3.5750444754565818,-0.0019125843761880078,0.024486919790716648,0.01665463298559189,250,-0.6334040825903116,0.4856966676142681,0.5422539240627849,0.0808975100517273,250,-1.4362985753648096,0.41801081458312084,0.40078759660154556,0.08620596677064896,250,-0.8424179641192092,0.5523066959401483,0.5168519176306821,0.08981552720069885,250
transformer.single_transformer_blocks.0,single,0,-3.473617722416943,0.3291643486691636,0.33686670186722983,0.12446935474872589,250,-3.911322817552321,0.17528091518637914,0.1492804684874958,0.05339939892292023,250,-1.8027238980975226,0.284350239886163,0.3086821869149906,0.09285615384578705,250,-0.6929701002632687,0.5167706663393676,0.541094225507608,0.24175748229026794,250,0.02467917433070561,0.6928489403611493,0.7308462535400566,0.18188729882240295,250,-0.9005777254295555,0.5741304515221837,0.5736802188835021,0.18115779757499695,250,-2.335676017660023,0.2952097344715636,0.2912989967839485,0.05151673033833504,250,-2.103706942593034,0.09821429409267929,0.12900648010368165,0.006739066913723946,250,-1.6663151728199934,0.1948644843378659,0.1919519992319877,0.03920012712478638,250,-1.855829794037937,0.18929578378824993,0.12307382654916285,0.0005541518330574036,223,-5.117156632332647,0.3745580464523567,0.3941688667018672,0.15960443019866943,250,-1.9802442578473443,0.37771860355874515,0.4078271972351557,0.10203836858272552,250,-7.90118158191685,0.28855458494714525,0.34312139394230307,0.04164039343595505,250,-0.0034779294793340965,0.6437545277457783,0.6744119425910814,0.27520984411239624,250,-2.9035924957864494,0.01947094458533175,0.0516269380310085,0.041482407599687576,250,-0.38305357007871726,0.5446180902264055,0.5868078529256467,0.06331966817378998,250,-1.0210422778843427,0.49222167501705794,0.47647827965247436,0.08400460332632065,250,-0.7308663937928283,0.5822031946942466,0.5242371237939807,0.07539777457714081,250
transformer.single_transformer_blocks.1,single,1,-3.7172415391659555,0.3256756847981158,0.34825862813805014,0.0886593908071518,250,-5.313052781217863,0.12874211063390797,0.06448346373541976,0.04299851879477501,250,-2.074281837344827,0.26506713884657157,0.2952719243507896,0.12165296822786331,250,-0.719590927492972,0.5354568794090758,0.5800562569001104,0.21258294582366943,250,0.12422282990239406,0.7017832046310827,0.7256014976239619,0.1514904797077179,250,-1.0068763493656316,0.572297745298627,0.5694392550280803,0.13415628671646118,250,-2.1439259217169604,0.28187113331164204,0.2949900638410214,0.012491796165704727,250,-1.7852178934108411,0.13786789431717125,0.19894551912830605,0.025043997913599014,250,-1.6034246731053785,0.2053724498647052,0.1907492919886718,0.0500807911157608,250,-2.007188570272329,0.17148217830926948,0.08185479682116453,0.009440572932362556,223,-3.990800563289139,0.43456038863873203,0.440261892190275,0.1352079212665558,250,-1.9457995231463372,0.3984669096194726,0.44172879566073053,0.10084791481494904,250,-6.257749654744693,0.3143238420003834,0.34187721403542454,0.08049499988555908,250,0.03395198257086725,0.6492077087156908,0.6713214611433782,0.2268279492855072,250,-2.645830283460314,0.004017689273647403,0.0020970575529208465,0.0030662179924547672,250,-0.24440457310827365,0.5675343235317899,0.6065956895310324,0.03206904977560043,250,-1.1738305805557818,0.4868491959090043,0.4754237987807805,0.10060570389032364,250,-0.5285910990163768,0.5919460798768108,0.5110580329285268,0.08946912735700607,250
transformer.single_transformer_blocks.2,single,2,-3.4197398989688708,0.314370043843022,0.32088052608841733,0.11092442274093628,250,-5.7406512739399345,0.08254270466050813,0.07257754524072384,0.01341242529451847,250,-1.4208681022913647,0.296029490740149,0.27331675706811304,0.11950317025184631,250,-0.8054584830818758,0.5030354725949513,0.5409314069025104,0.17444750666618347,250,0.05030750312675958,0.6712924480212608,0.7110975855613688,0.10959567874670029,250,-0.7296168402836308,0.5921824954193724,0.5807390198243171,0.14745178818702698,250,-2.023030140395602,0.2765044718648117,0.2769755676090817,0.006547464057803154,250,-1.8499569462903458,0.06338891273126392,0.11738415014640233,0.016525745391845703,250,-1.250117578037594,0.22607210913134698,0.2596899150386406,0.05374709516763687,250,-2.2044763929737488,0.18277299343397949,0.11400349741156915,0.006553690880537033,223,-4.605771085634312,0.41134915937677896,0.4198258532136514,0.13669270277023315,250,-1.338575876445109,0.4017133535032378,0.45391254260068153,0.05385289341211319,250,-6.726356102368048,0.2518647123678068,0.26398310372965966,0.052404023706912994,250,0.019762977739358888,0.630272664629901,0.6511688187010992,0.182257279753685,250,-2.691935725047052,-0.028223672755979708,-0.005392598281572505,0.011187438853085041,250,-0.17229536199026443,0.5571169871377466,0.5949633754140067,0.001472759060561657,250,-0.668655491716755,0.5259857431258024,0.5070152162434598,0.10700041055679321,250,-0.8847075256993546,0.5428600982759405,0.49079786876590026,0.04511573165655136,250
transformer.single_transformer_blocks.3,single,3,-3.2329747547899275,0.29465481622775275,0.3105914654634474,0.16327893733978271,250,-3.584801805956355,0.1588034380242113,0.17532299716795466,0.0486130565404892,250,-1.9031738125971984,0.2581254875839381,0.2875656890510248,0.08630628138780594,250,-0.3619167021743158,0.5682489093603157,0.5767161714587433,0.16934460401535034,250,0.08090362956821939,0.6920688416388432,0.6972411078577256,0.14577630162239075,250,-0.3076419830877518,0.6240836097423234,0.6172119233907741,0.1686110645532608,250,-1.5703451512707693,0.27378192053052863,0.28947650362405797,0.04254280775785446,250,-2.1497297430573408,-0.01260538215659963,0.020311236979791678,0.03157684952020645,250,-1.5553983922400572,0.22213328219685033,0.21361916190659047,0.06634090840816498,250,-1.5394727999576847,0.21867494529026738,0.18750973907924579,0.053013719618320465,223,-2.9508388447905243,0.4616729871807815,0.4576650506408102,0.14049260318279266,250,-1.146194740157843,0.3646426441582866,0.3955582009312149,0.05539502203464508,250,-4.656521167144848,0.29475534036918744,0.33156972111553784,0.08307719230651855,250,0.21451198429791182,0.6879761239166683,0.6952166274660394,0.2003914713859558,250,-3.260483826458311,-0.052204124252993464,-0.014752364037824603,0.017202772200107574,250,-0.2440674659425297,0.5642252320384507,0.6215427446839149,0.05014146864414215,250,-0.6679813467063074,0.5253950131624179,0.540507464119426,0.08779577910900116,250,-0.8097971362523342,0.5520184470992099,0.4266419622713963,0.048795588314533234,250
