site,stack,block,r2_brightness,cv_pearson_brightness,cv_spearman_brightness,stability_cos_brightness,n_brightness,r2_nl_brightness,nonlinearity_gain_brightness,r2_rolloff,cv_pearson_rolloff,cv_spearman_rolloff,stability_cos_rolloff,n_rolloff,r2_nl_rolloff,nonlinearity_gain_rolloff,r2_tilt,cv_pearson_tilt,cv_spearman_tilt,stability_cos_tilt,n_tilt,r2_nl_tilt,nonlinearity_gain_tilt,r2_bandwidth,cv_pearson_bandwidth,cv_spearman_bandwidth,stability_cos_bandwidth,n_bandwidth,r2_nl_bandwidth,nonlinearity_gain_bandwidth,r2_contrast,cv_pearson_contrast,cv_spearman_contrast,stability_cos_contrast,n_contrast,r2_nl_contrast,nonlinearity_gain_contrast,r2_flatness,cv_pearson_flatness,cv_spearman_flatness,stability_cos_flatness,n_flatness,r2_nl_flatness,nonlinearity_gain_flatness,r2_zcr,cv_pearson_zcr,cv_spearman_zcr,stability_cos_zcr,n_zcr,r2_nl_zcr,nonlinearity_gain_zcr,r2_attack,cv_pearson_attack,cv_spearman_attack,stability_cos_attack,n_attack,r2_nl_attack,nonlinearity_gain_attack,r2_density,cv_pearson_density,cv_spearman_density,stability_cos_density,n_density,r2_nl_density,nonlinearity_gain_density,r2_decay,cv_pearson_decay,cv_spearman_decay,stability_cos_decay,n_decay,r2_nl_decay,nonlinearity_gain_decay,r2_tail,cv_pearson_tail,cv_spearman_tail,stability_cos_tail,n_tail,r2_nl_tail,nonlinearity_gain_tail,r2_f0,cv_pearson_f0,cv_spearman_f0,stability_cos_f0,n_f0,r2_nl_f0,nonlinearity_gain_f0,r2_voiced,cv_pearson_voiced,cv_spearman_voiced,stability_cos_voiced,n_voiced,r2_nl_voiced,nonlinearity_gain_voiced,r2_hnr,cv_pearson_hnr,cv_spearman_hnr,stability_cos_hnr,n_hnr,r2_nl_hnr,nonlinearity_gain_hnr,r2_am_rate,cv_pearson_am_rate,cv_spearman_am_rate,stability_cos_am_rate,n_am_rate,r2_nl_am_rate,nonlinearity_gain_am_rate,r2_am_depth,cv_pearson_am_depth,cv_spearman_am_depth,stability_cos_am_depth,n_am_depth,r2_nl_am_depth,nonlinearity_gain_am_depth,r2_loudness,cv_pearson_loudness,cv_spearman_loudness,stability_cos_loudness,n_loudness,r2_nl_loudness,nonlinearity_gain_loudness,r2_crest,cv_pearson_crest,cv_spearman_crest,stability_cos_crest,n_crest,r2_nl_crest,nonlinearity_gain_crest
transformer.transformer_blocks.0,dual,0,0.5219720245403765,0.7645728123699583,0.789203667258676,0.9261925220489502,250,0.47889843505938356,-0.043073589480992935,0.31215433785133617,0.6071988950414345,0.6779601593625498,0.8199523091316223,250,0.36385562277096495,0.051701284919628776,0.4515823223009184,0.7085916313474389,0.7475605049680795,0.8255683779716492,250,0.4512050462221821,-0.0003772760787362772,0.18398418849841985,0.44758850604522843,0.5213232851725627,0.6419240236282349,250,0.13413969952036245,-0.049844488978057405,-0.02507174008120474,0.48695574433564487,0.44633840541448666,0.6867356300354004,250,0.04411220855808699,0.06918394863929173,-0.0780199210273926,0.397987106685802,0.5288874381990111,0.6731769442558289,250,-0.3907823549410495,-0.31276243391365693,0.4361387996322234,0.7325601219961643,0.6925946335141361,0.8832265138626099,250,0.3159592992143815,-0.12017950041784192,-0.045267834402604956,0.2992223942150509,0.311039216627466,0.33726364374160767,250,-0.26594134157068383,-0.22067350716807888,0.12342596385062947,0.4306503842342326,0.43209945759132146,0.2715280055999756,250,-0.06544207882510078,-0.18886804267573026,-0.22205945182665174,-0.027693967384312755,0.030717803484855755,0.04145213961601257,250,-0.5136872264241041,-0.29162777459745237,-0.23748316829880212,-0.02403653203078026,0.026578985263764218,0.0700003057718277,250,-0.3040617999536211,-0.06657863165481898,-0.05868780085960059,0.16685366572320182,0.07435137732222934,0.21284760534763336,223,-0.3658407469502346,-0.30715294609063404,-0.028896936764714654,0.40335790388444454,0.3781949791196659,0.58973228931427,250,-0.06424082789754879,-0.035343891132834135,0.06584620436748903,0.4219248942420042,0.49460490567849086,0.7481359839439392,250,0.04206724145714043,-0.023778962910348603,-0.4018730736355476,-0.020861677610239417,-0.06943407094513512,0.23273223638534546,250,-0.48640717949145723,-0.08453410585590965,-0.15175274249328172,0.32314800960440654,0.40655076081217295,0.46141529083251953,250,-0.5386089673192588,-0.38685622482597704,0.13519063739919474,0.41345216007835084,0.5555021360341765,0.7174206376075745,250,0.05046786244786028,-0.08472277495133446,0.006683019912040611,0.46416487069918105,0.5323742139874238,0.6881396174430847,250,-0.07186189932393401,-0.07854491923597462
transformer.transformer_blocks.1,dual,1,0.5596630312290681,0.7861183423075214,0.8127993087889406,0.9369015693664551,250,0.5140005214505964,-0.04566250977847175,0.3593036198658563,0.6428071422547605,0.7196255940095041,0.828543484210968,250,0.32627422028497716,-0.03302939958087914,0.46978963264476653,0.7220514805306024,0.7625889694235107,0.8451622128486633,250,0.39616264869454304,-0.07362698395022349,0.22603523579742896,0.49035437184244474,0.5626116257860125,0.646332323551178,250,0.20092287570945605,-0.025112360087972907,0.1338868551319643,0.5845965112166164,0.562359717755484,0.7683869004249573,250,0.18024500758865952,0.04635815245669522,-0.05535892036367838,0.4423922906874608,0.5687833725339605,0.6935503482818604,250,-0.40993322499496426,-0.35457430463128586,0.4517996277158228,0.7476241081851945,0.7092412998607978,0.8752812147140503,250,0.38955323687963406,-0.06224639083618877,-0.07029486486172154,0.2887062863158083,0.29762665002640043,0.3036367893218994,250,-0.16193230307485976,-0.09163743821313822,0.06861934819514166,0.38097824500245075,0.38008966543464695,0.20269811153411865,250,-0.1625108037963718,-0.2311301519915135,-0.19598052139511438,0.03932620928285517,0.10356146498343972,0.10711148381233215,250,-0.30194734205158996,-0.10596682065647559,-0.15474993608447987,0.023425782163329075,0.06055200883214131,0.07725962996482849,250,-0.24994171916783037,-0.0951917830833505,-0.07600163235082646,0.18096089499386753,0.09445500112540471,0.2394532859325409,223,-0.3597104923853788,-0.2837088600345523,0.05462794303428194,0.46564096955161194,0.462511976191619,0.6906152367591858,250,-0.0016401910039025359,-0.056268134038184474,0.1327009996613681,0.4789597397660596,0.5582308836941391,0.768463134765625,250,0.18841683775469661,0.0557158380933285,-0.3908166820088962,0.05696160096687436,0.07223501176018815,0.22702743113040924,250,-0.4580648429294992,-0.06724816092060304,-0.12217350131338087,0.36198216456722826,0.443347765564249,0.4329788088798523,250,-0.35890495642844816,-0.2367314551150673,0.14395733376556372,0.41999721608454427,0.5399176306820909,0.7254579663276672,250,0.0342445342613618,-0.10971279950420192,0.00868507781480552,0.4730829654932937,0.5325685210963376,0.6696398258209229,250,-0.055523604506394,-0.06420868232119951
transformer.transformer_blocks.2,dual,2,0.5323519570519241,0.7703541637475477,0.7938486055776891,0.9179837703704834,250,0.46674058237352767,-0.0656113746783964,0.3247307079528737,0.6184235827506768,0.6904134786156577,0.8084188103675842,250,0.3219755428626706,-0.002755165090203071,0.45889510026958513,0.7137430198449441,0.7485197523160371,0.8502309322357178,250,0.31717134488955956,-0.14172375538002557,0.18815166730748273,0.4559806521213119,0.5265181202899246,0.6430433988571167,250,0.09978389113017436,-0.08836777617730837,0.04592253648219309,0.5324214781113547,0.5027496759948159,0.7237289547920227,250,0.12049016349334127,0.07456762701114818,-0.029457268795599022,0.423431912832746,0.5576333701339221,0.6947600841522217,250,-0.4382146918010701,-0.4087574230054711,0.42397932219963597,0.7282349961344574,0.6933526616425862,0.8983458280563354,250,0.3370204497099098,-0.08695887248972617,-0.09495460025985514,0.24615668933645457,0.25399126386022175,0.22095759212970734,250,-0.3964779463882121,-0.30152334612835696,0.026250701472562123,0.33474611385176073,0.34847213555416884,0.10169962048530579,250,-0.17491164931340705,-0.20116235078596917,-0.17644091029033065,0.01863899495636284,0.07440848653578457,0.11032509803771973,250,-0.24436304115175753,-0.06792213086142687,-0.17129012347204262,-0.0016776895307910608,0.03888407814525032,0.07976768910884857,250,-0.3183840406414781,-0.1470939171694355,-0.04858536082100455,0.20009692915932722,0.1142664525512059,0.31874018907546997,223,-0.20792273643821474,-0.15933737561721018,0.03363876427970267,0.44908224949989006,0.4300580809292948,0.6511852145195007,250,0.05007942207813252,0.016440657798429847,0.1007547774648642,0.4495759779510512,0.5272477319637114,0.75425785779953,250,0.08855719372886554,-0.012197583735998663,-0.3721973293514815,-0.018839168152735026,0.006876398022368357,0.057734448462724686,250,-0.5139349431227961,-0.1417376137713146,-0.19897492981881837,0.28273839471350154,0.3662639082225315,0.42684370279312134,250,-0.5111939813028659,-0.3122190514840475,0.12370369052996866,0.4140073264710644,0.5458428454855278,0.8251911997795105,250,-0.07409024231709824,-0.1977939328470669,0.03527472735071506,0.47731487066672057,0.5361559064945038,0.6637593507766724,250,-0.07556694808352252,-0.11084167543423758
transformer.transformer_blocks.3,dual,3,0.5912024170996796,0.7962630943044234,0.8211529784476551,0.9209668636322021,250,0.4403047575126175,-0.15089765958706208,0.42447774195600696,0.6828114607011336,0.7361125138002207,0.8385412096977234,250,0.3604765024739569,-0.06400123948205005,0.48576866337096164,0.7315694400226191,0.7456973071569144,0.854369044303894,250,0.33173273667743175,-0.1540359266935299,0.29422810368744506,0.5641420363338207,0.6092530120481927,0.7152644991874695,250,0.2303963102923273,-0.06383179339511777,0.051799069750729454,0.5373349484108524,0.5068815821053136,0.7793675661087036,250,0.12363780044939443,0.07183873069866498,0.027057161526691707,0.5025768575737123,0.5706273700379206,0.7686201930046082,250,-0.3990678651227615,-0.4261250266494532,0.47451109931482893,0.750593532576915,0.6869328469255508,0.8958380818367004,250,0.31288720074894627,-0.16162389856588266,-0.02845018797157326,0.3286093131070514,0.3647355637690203,0.3488483428955078,250,-0.26706111188964393,-0.23861092391807068,0.15383050081895092,0.4551581001531022,0.45486718187490993,0.2674977481365204,250,-0.021450499558139914,-0.17528100037709082,-0.08162221649272161,0.14903475788299633,0.19359247347957564,0.3252752423286438,250,-0.19814385180531086,-0.11652163531258924,-0.0868597723762438,0.08906543692361063,0.08120923534776556,0.01953050121665001,250,-0.2116189905296359,-0.1247592181533921,0.035179518723860825,0.30415990446191743,0.21114864864864863,0.38204899430274963,223,-0.12034195362992602,-0.15552147235378683,0.03074505972492969,0.43568725517171386,0.4204210627370038,0.6132149696350098,250,0.0952607313730371,0.06451567164810741,0.1364631480967678,0.476309605877351,0.530434214947439,0.621637225151062,250,0.09416520647857125,-0.04229794161819654,-0.29914176984709034,0.14183687952287494,0.14950933614937836,0.19496116042137146,250,-0.5466324391577466,-0.24749066931065627,-0.09638945182313423,0.3647343243437611,0.42550146402342437,0.6196555495262146,250,-0.4292096110303505,-0.33282015920721625,0.14854022024835495,0.4510477167152285,0.5604719435510968,0.7622231841087341,250,-0.1573489973197291,-0.30588921756808407,0.12182485527224667,0.5237576164405294,0.5626431142898286,0.6671760082244873,250,0.07372620072955498,-0.04809865454269169
transformer.transformer_blocks.4,dual,4,0.5339616211584711,0.7675619201478197,0.7812654922478759,0.9268299341201782,250,0.4402802153506288,-0.09368140580784234,0.3644590472801207,0.6481933704404906,0.6970444967119473,0.8614396452903748,250,0.32243518864528115,-0.04202385863483954,0.4171692406614461,0.692165591834978,0.7040940815053041,0.8107936382293701,250,0.3316798504867422,-0.08548939017470392,0.23841688473899625,0.5364967056290056,0.5891080497287955,0.7662529945373535,250,0.13575887843919993,-0.10265800629979632,0.03889377506031377,0.535038833990027,0.5039900158402534,0.794839084148407,250,0.20956249691682055,0.17066872185650678,0.039842292249346344,0.5208687791266018,0.5905104401670427,0.8031644225120544,250,-0.2395596458721987,-0.279401938121545,0.44480274798315894,0.7310062192460086,0.6740486727787643,0.9165222644805908,250,0.3229272036816938,-0.12187554430146513,0.011501869405953413,0.3769972105993568,0.3803638458215331,0.35542142391204834,250,-0.1955441923293862,-0.2070460617353396,0.16644110390358308,0.46450200441928363,0.46932578121249935,0.2747330963611603,250,0.015523632634543195,-0.15091747126903987,-0.02175786212277462,0.22897579712170338,0.24904833677338833,0.3019849359989166,250,-0.2289536343172082,-0.20719577219443358,-0.08115562235906457,0.07959407546980438,0.06560168962703403,0.00796815287321806,250,-0.3292803070736588,-0.24812468471459423,0.08263341132663818,0.3650345215930464,0.2506676679882958,0.3670441508293152,223,-0.09189968368256458,-0.17453309500920278,0.06923620383612675,0.4731219768629947,0.46410944175106794,0.7387316226959229,250,0.07909656888219121,0.009860365046064468,0.18603569923606497,0.523320151192709,0.5796338501416023,0.6775586605072021,250,0.21908952172575305,0.03305382248968808,-0.2852950555837322,0.07347650384995522,0.11785954975279603,0.1798262596130371,250,-0.7334929577726662,-0.448197902188934,-0.15495875504408305,0.3573749856222468,0.42571266740267844,0.6357599496841431,250,-0.2952301609867639,-0.14027140594268087,0.09494715658944579,0.4049533907202543,0.5298221091537464,0.7708097696304321,250,-0.2586821885387502,-0.353629345128196,0.07745587129545277,0.4899557235450061,0.5441393942303077,0.595553457736969,250,-0.12091006402991342,-0.19836593532536617
transformer.transformer_blocks.5,dual,5,0.5067193947853663,0.7473316219312057,0.7594362789804636,0.9120126366615295,250,0.4868878912075493,-0.019831503577817045,0.35344770466206005,0.6405926867909874,0.6919203187250995,0.810809850692749,250,0.37705838686536036,0.023610682203300315,0.3684948584379518,0.6548702930854591,0.676242115873854,0.8290883898735046,250,0.3662695987669242,-0.002225259671027602,0.21913959483191867,0.5315935835259674,0.577886622185955,0.7066764831542969,250,0.22891298010296524,0.00977338527104657,0.07168973584444387,0.5497692502893464,0.5229791196659146,0.7510227560997009,250,0.16474473342146417,0.09305499757702031,0.033610164862202876,0.5288835886790536,0.5876687947007152,0.7743604779243469,250,-0.15057308643282472,-0.1841832512950276,0.43531798665130506,0.7227637230003761,0.6598412134594153,0.9220282435417175,250,0.4286727232379063,-0.006645263413398772,0.006016647970453204,0.3593468391236998,0.3708220611529784,0.22280524671077728,250,-0.17446373193951253,-0.18048037990996574,0.17905734686013036,0.47455776047111864,0.4752678922862765,0.3188592493534088,250,0.0816432942383066,-0.09741405262182376,-0.03809380678180359,0.17963563658972834,0.19475524408390535,0.21854813396930695,250,-0.177414190439923,-0.13932038365811938,-0.11140674479312232,0.012009245940711323,0.025634330149282385,0.018291374668478966,250,-0.28497601404333184,-0.17356926925020952,0.13113968397182682,0.39472076966149744,0.2739559707048496,0.5163396596908569,223,-0.09706112220107868,-0.2282008061729055,0.08218708590977823,0.4781750927418932,0.47395996735947776,0.728274941444397,250,0.059234466329664184,-0.022952619580114048,0.25205421046786725,0.5607585241259478,0.6175137522200355,0.6949132680892944,250,0.1552398666427626,-0.09681434382510465,-0.2355450416502931,0.07684453507332192,0.09705486487783804,0.13672968745231628,250,-0.40028465578546035,-0.16473961413516724,-0.17953280014000786,0.3294238215683142,0.42143637498199965,0.7067973017692566,250,-0.3526415400071797,-0.17310873986717182,0.11039851837164996,0.4207368159307534,0.5517419478711659,0.7041823267936707,250,-0.10894280643748813,-0.2193413248091381,0.10344194352249306,0.4878415834323986,0.5449534872557961,0.6081900596618652,250,0.025963133750126176,-0.07747880977236687
transformer.single_transformer_blocks.0,single,0,0.48869198614182513,0.7378395744522037,0.7461550424806797,0.9077321887016296,250,0.46381264209399387,-0.024879344047831264,0.3408964200453569,0.630173843892371,0.6799969279508472,0.8156148195266724,250,0.38770317921531494,0.04680675916995802,0.361453206465528,0.6502065508943815,0.6624754956079297,0.8100032210350037,250,0.3501566581903538,-0.011296548275174179,0.22842576461719863,0.523827482521748,0.5676090817453079,0.7209101319313049,250,0.2686520742183274,0.040226309601128746,0.05896892171936023,0.5429869516381002,0.5357135314165027,0.7187991142272949,250,0.25452323289705375,0.1955543111776935,0.057543092704749464,0.5146311023458702,0.5666774828397254,0.8524131774902344,250,0.049847534726191814,-0.00769555797855765,0.4359631434642443,0.720175678360822,0.6494215907454518,0.9197195172309875,250,0.35406969545113043,-0.08189344801311388,-0.013252990141685461,0.3395412352524035,0.36578697259156145,0.24539895355701447,250,-0.22749521964001426,-0.2142422294983288,0.16282348505192448,0.4594372668710084,0.4638475495607929,0.2433697134256363,250,-0.060659445627369024,-0.2234829306792935,-0.04982332544355357,0.18174372342679018,0.20398905582489318,0.2985164225101471,250,-0.19327826100917556,-0.143454935565622,-0.12293139849766895,0.00499628347141671,0.023642874285988574,0.02127193473279476,250,-0.23749620226060114,-0.1145648037629322,0.10947309812344834,0.3627124591158803,0.27293661374378864,0.46195679903030396,223,-0.12072950804457735,-0.23020260616802568,0.049473831726856446,0.46049947513129386,0.4579753276052416,0.7108665704727173,250,0.2179281010310775,0.16845426930422103,0.23314708008774893,0.5487342638775901,0.6211157298516775,0.7306627631187439,250,0.2397138371169271,0.006566757029178166,-0.23728876869913015,0.08193844627304653,0.10349618393894303,0.2630276381969452,250,-0.4671629948477725,-0.22987422614864236,-0.2196226628063595,0.3184385913647187,0.420676042816685,0.6861475706100464,250,-0.6145572807867189,-0.3949346179803594,0.10699195655219891,0.4199614741034602,0.5403484855757691,0.7777498364448547,250,-0.024183373844174037,-0.13117533039637294,0.0965081307862855,0.4705976588837105,0.5282515240243844,0.6871817708015442,250,0.013111066003609718,-0.08339706478267579
transformer.single_transformer_blocks.1,single,1,0.5035267833764288,0.7435043930235019,0.7574563433014928,0.8698748350143433,250,0.4557750686018613,-0.047751714774567466,0.35889242080352945,0.6413978343708752,0.6896416262660203,0.8130958080291748,250,0.3739612242035987,0.01506880340006922,0.38515444054724834,0.6613386059139228,0.6810683050928814,0.7553865313529968,250,0.33591382907644124,-0.049240611470807105,0.2418663539828291,0.5383009737822694,0.5831981951711227,0.7550017237663269,250,0.31419320852589533,0.07232685454306623,0.1276656053932136,0.5847551413071405,0.5687342197475159,0.7447761297225952,250,0.25582220451564003,0.12815659912242644,0.07205004540996227,0.5155453168724674,0.5569352469639515,0.8081625699996948,250,-0.13322807326829023,-0.2052781186782525,0.4462487981278597,0.7251297936058893,0.650300964815437,0.890487551689148,250,0.3647643034662022,-0.08148449466165752,-0.04288270818797666,0.32779623798734026,0.3478208611337781,0.39095693826675415,250,-0.27056674012420434,-0.2276840319362277,0.1511941421397844,0.45241235638854255,0.45659444151106404,0.394930362701416,250,-0.003934061005724643,-0.15512820314550904,-0.043746484595647006,0.19595486527006012,0.23353986463783422,0.3284701406955719,250,-0.16379888737767373,-0.12005240278202672,-0.12681986218156807,0.010142459652592736,0.02955810492967887,0.1561036854982376,250,-0.236002646792063,-0.10918278461049494,0.12365647906346815,0.3761496476443696,0.26830946898211466,0.3326704204082489,223,-0.29905522601108714,-0.4227117050745553,0.09127203678705553,0.4832717973662453,0.49418633898142367,0.7551355957984924,250,0.21547688242857338,0.12420484564151785,0.2835163451688299,0.5882670651185359,0.6637089233427734,0.7490487694740295,250,0.2544418070351992,-0.0290745381336307,-0.2763876738222605,0.08252357565873071,0.115238323813181,0.2639084756374359,250,-0.5571902655569071,-0.2808025917346466,-0.21311568160504782,0.3369257913320597,0.4536030336485384,0.6475062966346741,250,-0.40954315631528304,-0.19642747471023522,0.08981577908449341,0.4075767742149532,0.5116639946239139,0.7122193574905396,250,-0.0028794390088018097,-0.09269521809329521,0.1164821429046928,0.4755766066779035,0.528656266500264,0.6002160310745239,250,0.06878684355268913,-0.04769529935200367
transformer.single_transformer_blocks.2,single,2,0.5048894063771528,0.740945257333565,0.7576806028896462,0.9063658118247986,250,0.4819258625311604,-0.022963543845992473,0.3591197411036303,0.6388962871313686,0.6913274132386118,0.866052508354187,250,0.47199350642522486,0.11287376532159454,0.3762817121662022,0.6541906702879497,0.6814699755196082,0.770757257938385,250,0.3376105476704077,-0.0386711644957945,0.24037729956380183,0.53190182707035,0.5804033984543752,0.7919530272483826,250,0.29214582719479243,0.0517685276309906,0.07771634778168605,0.554913144366391,0.5489801756828109,0.7235028743743896,250,0.28757194648578965,0.20985559870410359,0.031004152004708786,0.5109278787813663,0.5689216147458359,0.8002836108207703,250,0.020456340099573134,-0.010547811905135651,0.44210622576764214,0.721064645353147,0.6393575577209235,0.8835124373435974,250,0.33647696255641735,-0.10562926321122479,-0.0025329957213010125,0.3470270027717433,0.38061268180290886,0.35904666781425476,250,-0.20661201845900745,-0.20407902273770645,0.1681575586816189,0.46912148091614686,0.47718715499447983,0.4284714162349701,250,0.024816404140969195,-0.14334115454064972,-0.05801783808264205,0.18244566442790328,0.21576268420294722,0.2747120261192322,250,-0.15172804843055274,-0.09371021034791069,-0.1181437095888006,-0.0012102598079109085,0.02622953967263476,0.15879406034946442,250,-0.33814434960163364,-0.22000064001283304,0.10786765617040195,0.35340014726691477,0.2721899510016102,0.36983782052993774,223,-0.22707563189383886,-0.3349432880642408,0.08089689496802435,0.4722693170927277,0.4707942207075313,0.8244829177856445,250,0.1789835823779895,0.09808668740996515,0.2638680667700152,0.5667899830272469,0.6525650650410405,0.794395387172699,250,0.2425846700082667,-0.02128339676174848,-0.25343837117066237,0.07366129473179203,0.1289972639562233,0.2544613182544708,250,-0.4988142834665671,-0.24537591229590472,-0.20846709868989616,0.31880493820807654,0.4506999471991551,0.6352797150611877,250,-0.28100017371835156,-0.07253307502845541,0.08357437040048996,0.3976691898529805,0.4970180002880046,0.6609876751899719,250,-0.14276181474060137,-0.22633618514109133,0.14093328621615905,0.4915540974131576,0.5429505112081793,0.6121976375579834,250,0.08055651312057714,-0.06037677309558191
transformer.single_transformer_blocks.3,single,3,0.49452917451623735,0.7390950063997985,0.7482156194499111,0.9094491600990295,250,0.5027195639789044,0.008190389462667036,0.3328941528984354,0.6203997000296299,0.6745893534296548,0.844352662563324,250,0.3759016366572624,0.043007483758827014,0.3818367227896111,0.6558868210632153,0.6793955743291892,0.7748048901557922,250,0.3315696977754962,-0.0502670250141149,0.21471342621033357,0.504464302186845,0.5667811644986319,0.7497677206993103,250,0.15317142787049204,-0.06154199833984153,0.12825174658973726,0.5829813334602616,0.562644650314405,0.7531177401542664,250,0.30625931634657066,0.1780075697568334,0.03651364122569396,0.49593404207182396,0.5780878414054624,0.8198872208595276,250,-0.4729189553273795,-0.5094325965530735,0.44780545780738795,0.7253629445642877,0.6424833677338837,0.8935519456863403,250,0.4095266843615937,-0.03827877344579428,0.03332289739264875,0.36267030769024056,0.39628858061728983,0.46529829502105713,250,-0.08511054829064672,-0.11843344568329547,0.19223996857888562,0.4881992258719393,0.4943460855373686,0.4858945608139038,250,0.10023114586800037,-0.09200882271088524,-0.02730440977419646,0.19889379697705803,0.22379225267604277,0.31771910190582275,250,-0.26832517935621975,-0.2410207695820233,-0.11344927870511182,-0.017065535410159354,0.03591724667594681,0.12169644981622696,250,-0.37575304089645434,-0.26230376219134255,0.0699360137430018,0.3132486474773659,0.2644517114808595,0.3297073543071747,223,-0.16099437856543655,-0.23093039230843837,0.13332201914095862,0.5148470719412537,0.502625258004128,0.7769582867622375,250,0.1451614360942563,0.011839416953297682,0.29614877380037224,0.5906019558840694,0.6716908750540007,0.7405945658683777,250,0.19015784014686754,-0.1059909336535047,-0.2193915307821584,0.11538528081754265,0.17982278116449862,0.30523043870925903,250,-0.4043855508885462,-0.18499402010638782,-0.12985866687496112,0.35646722116563107,0.4812414918638697,0.6834004521369934,250,-0.3790845165175559,-0.2492258496425948,0.07665238990806764,0.36954186320129645,0.4375385206163298,0.6602964401245117,250,-0.3128185916834377,-0.3894709815915053,0.1252192957385597,0.47318596785658784,0.5215460087361398,0.6768059134483337,250,-0.022075628693778528,-0.14729492443233821
