job_id,pair_id,concept,label,side,sample_index,seed,duration,steps,guidance_scale,prompt,wav_path,status,error,sample_rate,duration_seconds,rms_dbfs,peak_dbfs,clip_fraction,silence_fraction,spectral_centroid_mean_hz,spectral_centroid_median_hz,spectral_centroid_std_hz,rolloff_85_mean_hz,rolloff_85_median_hz,rolloff_95_mean_hz,rolloff_95_median_hz,low_band_energy,high_band_energy,total_energy,high_to_low_ratio,high_to_low_db,high_to_total_ratio,onset_strength_mean,onset_strength_median,onset_strength_max,onset_strength_p95,onset_count,onset_rate_per_second,mean_inter_onset_interval_ms,median_inter_onset_interval_ms,attack_time_ms_first,attack_time_ms_median,attack_time_ms_min,attack_time_ms_valid_count,transient_energy_total,non_transient_energy_total,transient_energy_fraction,transient_energy_per_onset_mean,event_sample,event_time_seconds,post_onset_energy_100ms,post_onset_energy_250ms,post_onset_energy_500ms,post_onset_energy_1000ms,tail_energy_fraction_250ms,tail_energy_fraction_500ms,tail_energy_fraction_1000ms,late_energy_fraction_300ms,late_energy_fraction_700ms,direct_energy,late_energy,direct_to_late_ratio,direct_to_late_db,decay_time_to_minus_20db_ms,decay_slope_db_per_second,reverb_proxy_score
01-positive-sample-000-seed-501,01,dry_reverberant,positive,positive,0,501,3.5,50,4.0,a dry hand clap once in a small carpeted room,/outputs/dry-reverberant-v1/01/positive/01-positive-sample-000-seed-501.wav,ok,,44100,3.5,-34.94495095016072,-2.9514485664367465,0.0,0.02586977556347847,2325.7744140625,2376.46435546875,300.53118896484375,4884.970703125,5167.96875,6572.11865234375,6739.892578125,73401.4375,278.3774719238281,75966.640625,0.003792534334546624,-24.21070478771518,0.0036644699519885887,0.5662363171577454,0.472578227519989,9.830281257629395,0.7461310029029846,4,1.1428571428571428,228.32955404383975,238.0045351473923,171.24716553287982,26.122448979591837,0.0,4,47.96839904785156,1.4639816284179688,0.9703841569353999,11.992099786177278,23808,0.5398639455782313,1.3848755359649658,1.465718150138855,1.5964665412902832,1.7569987773895264,0.45033949717116983,0.40130745438188375,0.34110609682236515,0.43828779911309257,0.3789379785313258,1.247116208076477,0.27377253770828247,4.555300610192459,6.585170419105541,52.244897959183675,-1.0404992547131495,0.33241134608442113
01-negative-sample-000-seed-501,01,dry_reverberant,negative,negative,0,501,3.5,50,4.0,a reverberant hand clap once in a large cathedral,/outputs/dry-reverberant-v1/01/negative/01-negative-sample-000-seed-501.wav,ok,,44100,3.5,-15.777427816011,0.0,0.002701652003452182,0.0006349206087179482,2461.2548828125,2424.8720703125,246.39710998535156,4851.31640625,4952.63671875,7069.4501953125,7041.357421875,4841696.5,163585.59375,6283130.0,0.033786833551008415,-14.71252507714944,0.026035685040736067,0.797042191028595,0.4837018847465515,5.534088611602783,2.874741792678833,34,9.714285714285714,102.37889095031953,87.07482993197279,267.0294784580499,60.952380952380956,0.0,34,3830.217529296875,250.7568359375,0.9385546652599228,179.45067910587088,35328,0.8010884353741496,57.78606414794922,253.04568481445312,531.6978759765625,1081.551513671875,0.9279609955129661,0.8486320030236985,0.6920952081357394,0.9158003119057849,0.7962521819017634,23.799623489379883,557.4873046875,0.042690879755048025,-13.696648953523905,928.7981859410431,-2.173635037291114,0.8903698354042411
02-positive-sample-000-seed-502,02,dry_reverberant,positive,positive,0,502,3.5,50,4.0,a dry wooden block is struck once in a recording booth,/outputs/dry-reverberant-v1/02/positive/02-positive-sample-000-seed-502.wav,ok,,44100,3.5,-42.289515405410825,-18.357288664150268,0.0,0.01632005162537098,1758.504150390625,1804.03369140625,273.6639404296875,3747.0625,3897.509765625,5943.5205078125,6136.962890625,13589.9482421875,74.86935424804688,14150.1630859375,0.005509171404761403,-22.589137153769016,0.005291059459410217,0.5219264626502991,0.48737311363220215,2.5662765502929688,0.8279874920845032,27,7.714285714285714,128.37955695098552,110.29478458049887,89.97732426303854,104.48979591836735,0.0,27,8.486194610595703,0.6245756149291992,0.9314464529925937,0.4465620741248131,2304,0.052244897959183675,2.440913677215576,5.034409046173096,5.342372417449951,5.645395278930664,0.41816251145856054,0.3825705443379749,0.3475495626486361,0.40395155424758383,0.3697351379287199,0.8581475615501404,4.30872917175293,0.19916488768334872,-7.00787224293239,220.58956916099774,-0.27844883026295825,0.535866789498245
02-negative-sample-000-seed-502,02,dry_reverberant,negative,negative,0,502,3.5,50,4.0,a reverberant wooden block is struck once in an empty hall,/outputs/dry-reverberant-v1/02/negative/02-negative-sample-000-seed-502.wav,ok,,44100,3.5,-32.940253077734056,-6.603256447690309,0.0,0.005306122358888388,923.4288940429688,913.1412353515625,87.79485321044922,1744.5458984375,1744.189453125,3102.279052734375,3100.78125,123701.609375,18.34587860107422,126155.0625,0.00014830751753163452,-38.28836834543027,0.00014542324531030388,0.4692467451095581,0.46641305088996887,1.1817984580993652,0.6340627074241638,43,12.285714285714286,80.99341323831119,75.46485260770976,20.317460317460316,46.439909297052154,0.0,43,67.81708526611328,10.612754821777344,0.8646847321136394,2.5136864642764247,88832,2.014331065759637,0.7363744974136353,1.8157318830490112,3.2079577445983887,7.574981212615967,0.832228949158146,0.7035894732705192,0.300082848639712,0.8137240595727717,0.5556126560857975,0.314395546913147,3.302126407623291,0.09521002775282413,-10.21317308250296,748.843537414966,-3.185386604403181,0.7608011976443595
03-positive-sample-000-seed-503,03,dry_reverberant,positive,positive,0,503,3.5,50,4.0,a dry snare drum hit in a padded studio,/outputs/dry-reverberant-v1/03/positive/03-positive-sample-000-seed-503.wav,ok,,44100,3.5,-22.167677570104157,-0.00026507636037961915,3.887269122060388e-05,0.0021703920792788267,1683.636474609375,1524.19384765625,589.523193359375,3421.78271484375,3273.046875,4488.3896484375,4435.83984375,975666.9375,96082.2421875,1442239.5,0.09847852632343607,-10.066584590043243,0.06662017105168733,0.49416592717170715,0.39711079001426697,6.132399559020996,1.1455270051956177,14,4.0,245.59567416710277,145.12471655328798,34.82993197278911,15.963718820861677,0.0,14,839.585205078125,97.413330078125,0.8960368384547359,75.51220556667873,98816,2.2407256235827666,205.63739013671875,254.5995330810547,268.8774719238281,297.0765075683594,0.16996247044949597,0.12341402801886735,0.031480377898227774,0.16256612641929724,0.10499016367802927,152.57122802734375,89.35883331298828,1.707399507924949,2.3233515192136363,267.0294784580499,-8.24817151336531,0.21230480430935203
03-negative-sample-000-seed-503,03,dry_reverberant,negative,negative,0,503,3.5,50,4.0,a reverberant snare drum hit in a gymnasium,/outputs/dry-reverberant-v1/03/negative/03-negative-sample-000-seed-503.wav,ok,,44100,3.5,-9.787441309195719,0.0,0.005707806907594204,0.0002915451768785715,1700.986328125,1678.131591796875,190.7491455078125,3479.53759765625,3466.845703125,5047.11181640625,4974.169921875,22975930.0,578664.8125,25159484.0,0.025185697053394573,-15.988460248637008,0.022999868061682027,0.5218499898910522,0.40852463245391846,4.745263576507568,1.2233256101608276,15,4.285714285714286,221.00421120829284,153.83219954648524,31.92743764172336,17.414965986394556,0.0,15,11265.5751953125,4943.658203125,0.6950097465064852,916.9501668294271,69888,1.5847619047619048,694.1986083984375,1320.990234375,1857.56591796875,4268.7685546875,0.847882678756638,0.7860937814698532,0.5084341315133002,0.8301986665300712,0.6934490076344634,397.5234680175781,1453.5703125,0.2734807285200234,-5.630732718617879,1230.657596371882,-3.4800515399688536,0.7696323638180753
04-positive-sample-000-seed-504,04,dry_reverberant,positive,positive,0,504,3.5,50,4.0,a dry finger snap close to the microphone,/outputs/dry-reverberant-v1/04/positive/04-positive-sample-000-seed-504.wav,ok,,44100,3.5,-43.23926319584246,-16.32352061677773,0.0,0.013890508562326431,2133.625732421875,2173.654541015625,219.3642578125,4839.1953125,4931.103515625,6595.7197265625,6632.2265625,10538.5146484375,230.44302368164062,11307.763671875,0.02186674606139181,-16.602158384859948,0.02037918640401066,0.5346019268035889,0.5060888528823853,4.341222286224365,0.7197132706642151,7,2.0,267.0294784580499,220.5895691609977,287.3469387755102,124.80725623582767,0.0,7,3.1636900901794434,4.157477378845215,0.432129179337147,0.5307090090853828,50176,1.1377777777777778,0.13787417113780975,0.3111989498138428,1.5837316513061523,2.500275135040283,0.9243547129492762,0.6150310686145272,0.3922403746060425,0.8373384254125492,0.5163814223721611,0.08757350593805313,1.6818190813064575,0.05207070541144352,-12.834065388170625,574.6938775510204,-1.891045748556407,0.7680754353356486
04-negative-sample-000-seed-504,04,dry_reverberant,negative,negative,0,504,3.5,50,4.0,a reverberant finger snap in a tiled stairwell,/outputs/dry-reverberant-v1/04/negative/04-negative-sample-000-seed-504.wav,ok,,44100,3.5,-28.699833653055347,-8.518314420892818,0.0,0.0038030450232326984,1975.0289306640625,1998.8365478515625,338.51702880859375,4683.97119140625,4974.169921875,6723.42236328125,6847.55859375,310136.65625,4067.349853515625,320528.9375,0.013114702088736488,-18.82241570318563,0.012689493451790526,0.521788477897644,0.4669656455516815,3.4258477687835693,0.943179190158844,13,3.7142857142857144,218.65457294028724,235.1020408163265,179.95464852607708,17.414965986394556,0.0,13,149.16378784179688,59.056610107421875,0.7163745209927764,15.569199002706087,9728,0.22058956916099773,40.61138916015625,74.08494567871094,125.31629943847656,145.06289672851562,0.6011579015247696,0.3253498738839831,0.21904251224912852,0.5045251026528107,0.2632241505292519,27.86669158935547,93.89190673828125,0.29679545934701707,-5.275427475831024,1845.9863945578231,-4.171082910604479,0.5129602953340653
05-positive-sample-000-seed-505,05,dry_reverberant,positive,positive,0,505,3.5,50,4.0,a dry door knock on wood in a small room,/outputs/dry-reverberant-v1/05/positive/05-positive-sample-000-seed-505.wav,ok,,44100,3.5,-22.710756840086756,0.0,0.001140265609137714,0.011415613815188408,2014.921142578125,2239.5,621.9488525390625,4236.26513671875,4888.037109375,5914.14453125,6567.626953125,1201931.875,11314.9033203125,1294525.25,0.009413930652527623,-20.262290052365067,0.008740581398711613,0.5639523863792419,0.4463481605052948,16.731712341308594,1.0395541191101074,4,1.1428571428571428,535.9939531368103,179.95464852607708,0.0,89.97732426303854,0.0,4,702.52685546875,124.33135986328125,0.8496340030759022,177.94435450434685,134656,3.053424036281179,582.8115844726562,621.058837890625,622.4967651367188,622.4967651367188,0.002310019742953393,0.0,0.0,0.0008558183738002608,0.0,509.42376708984375,64.49215698242188,7.899003397090493,8.975723006009348,174.14965986394557,-95.75337540312408,0.03774265070869916
05-negative-sample-000-seed-505,05,dry_reverberant,negative,negative,0,505,3.5,50,4.0,a reverberant door knock on wood in a long hallway,/outputs/dry-reverberant-v1/05/negative/05-negative-sample-000-seed-505.wav,ok,,44100,3.5,-20.452198926021843,0.0,9.070294618140906e-05,0.0024748947471380234,1187.74560546875,1170.8153076171875,338.3116149902344,2083.087646484375,2024.12109375,3850.735107421875,3962.109375,2151612.75,1986.0716552734375,2190899.5,0.0009230618545430341,-30.347691958466232,0.0009065097031029664,0.5440533757209778,0.4271312952041626,11.838724136352539,1.1285253763198853,10,2.857142857142857,203.17460317460316,174.14965986394557,34.82993197278911,26.122448979591834,0.0,10,695.1231079101562,695.7473754882812,0.49977558385716847,86.03234219551086,95744,2.1710657596371883,109.02547454833984,191.89450073242188,212.113525390625,518.78955078125,0.6979104111630245,0.6660805830255906,0.1832961093834044,0.6840548289109144,0.6561217091286651,69.22517395019531,116.82014465332031,0.5925790809079242,-2.2725368395048706,406.3492063492063,-36.72416998027339,0.6560296140142193
