site,stack,block,r2_brightness,cv_pearson_brightness,cv_spearman_brightness,stability_cos_brightness,n_brightness,r2_onset_rate,cv_pearson_onset_rate,cv_spearman_onset_rate,stability_cos_onset_rate,n_onset_rate,cross_cosine
transformer.transformer_blocks.0,dual,0,-2.515550065040588,0.6818141397928505,0.7115865518199501,0.06559303402900696,60,-1.7073757767677307,0.5273570871277973,0.5884968046679634,0.1303548812866211,60,0.0049898661673069
transformer.transformer_blocks.1,dual,1,-0.8473726630210876,0.7636644789432153,0.811558766323979,0.12307994812726974,60,-0.5001764178276062,0.6419008078556705,0.6617949430397334,0.17831772565841675,60,0.08151455223560333
transformer.transformer_blocks.2,dual,2,-1.1439557790756225,0.7603834223111011,0.8151708808002224,0.13095203042030334,60,-0.2717817068099976,0.632938653892715,0.6510141706029454,0.10172721743583679,60,0.03488484025001526
transformer.transformer_blocks.3,dual,3,0.2086233377456665,0.7957850442517308,0.8256182272853573,0.2138661891222,60,0.03995604515075683,0.7256060810365673,0.7677132536815783,0.051318999379873276,60,0.0333288349211216
transformer.transformer_blocks.4,dual,4,0.1837978720664978,0.796539901353214,0.8341205890525147,0.19495011866092682,60,-0.006209146976470947,0.7162678216314596,0.7377604890247292,0.04799940064549446,60,0.07122208923101425
transformer.transformer_blocks.5,dual,5,-0.35793691873550415,0.721000515793121,0.7837176993609337,0.12912516295909882,60,0.014000403881072997,0.6767345458146136,0.6885245901639346,0.028989098966121674,60,0.04465561732649803
transformer.single_transformer_blocks.0,single,0,-0.13090620040893555,0.729701758250024,0.7808280077799391,0.15847046673297882,60,-0.11544116735458373,0.6669032186383143,0.6908585718255073,0.0642925351858139,60,0.005445333197712898
transformer.single_transformer_blocks.1,single,1,-0.32485350370407107,0.689851657335794,0.7483745484856905,0.13551568984985352,60,-0.1101027250289917,0.6885266250418195,0.705584884690192,0.06086215749382973,60,0.005566295236349106
transformer.single_transformer_blocks.2,single,2,-0.20870709419250488,0.6911995367133152,0.7686579605445959,0.12241280823945999,60,-0.1778692364692688,0.652660588615103,0.6355098638510699,0.028374556452035904,60,0.008078101091086864
transformer.single_transformer_blocks.3,single,3,-0.07082549333572388,0.7150296377346698,0.7829397054737428,0.13443148136138916,60,-0.1896164059638977,0.6594646429695206,0.6577382606279524,0.03275332599878311,60,0.02264399826526642
transformer.single_transformer_blocks.4,single,4,-0.2379422664642334,0.6656369657634602,0.73853848291192,0.11655925214290619,60,-0.22072657346725463,0.6686992120756321,0.6804667963323147,0.010359590873122215,60,0.0325666181743145
transformer.single_transformer_blocks.5,single,5,-0.1188361406326294,0.6928399126336374,0.7454848569046959,0.1545248031616211,60,-0.01701645851135254,0.7325462645150447,0.7402056126701864,0.004990020766854286,60,0.07117170095443726
transformer.single_transformer_blocks.6,single,6,-0.12713748216629028,0.689923351077612,0.7450958599611004,0.1528593748807907,60,-0.042147493362426756,0.7191805716550574,0.7399277577104753,0.010257648304104805,60,0.06751175969839096
transformer.single_transformer_blocks.7,single,7,-0.11256468296051025,0.6767147025708036,0.7297026951931094,0.18505218625068665,60,-0.003488588333129883,0.7025195168407292,0.7287579883300919,0.017539404332637787,60,0.06214793771505356
transformer.single_transformer_blocks.8,single,8,-0.25724018812179567,0.6579126832721072,0.7070297304806892,0.18112951517105103,60,0.033730292320251466,0.6836017477731778,0.6911919977771604,0.019665151834487915,60,0.0006502587348222733
transformer.single_transformer_blocks.9,single,9,-0.16684964895248414,0.6693146584377551,0.7174215059738819,0.18971878290176392,60,0.03232598304748535,0.7093833318404505,0.7194220616838012,0.01889992132782936,60,0.0013190824538469315
transformer.single_transformer_blocks.10,single,10,0.03910086154937744,0.6944853176002478,0.7327590997499306,0.18481414020061493,60,0.06066908836364746,0.7225789664584167,0.7325923867741041,0.006606563925743103,60,0.0317484512925148
transformer.single_transformer_blocks.11,single,11,0.01887633800506592,0.7159386478758452,0.7755487635454295,0.19655990600585938,60,0.15022451877593995,0.7517596333583481,0.7619338705195889,0.04533296450972557,60,0.02012081816792488
transformer.single_transformer_blocks.12,single,12,-0.10157904624938965,0.6950138705943005,0.7681578216171161,0.18583287298679352,60,0.0856482744216919,0.7212269980242422,0.7363712142261741,0.058100249618291855,60,0.03255384787917137
transformer.single_transformer_blocks.13,single,13,0.003070080280303955,0.7043349105486663,0.7780494581828288,0.1896994262933731,60,-0.02546570301055908,0.6814544719928294,0.7020283412058906,0.07744329422712326,60,0.008218539878726006
transformer.single_transformer_blocks.14,single,14,-0.08599071502685547,0.7344786025781003,0.8091136426785219,0.15939387679100037,60,-0.019602930545806883,0.6888717372862405,0.7070853014726315,0.0632769912481308,60,0.05897955596446991
transformer.single_transformer_blocks.15,single,15,-0.2664864301681519,0.7097644010720755,0.7495971103084191,0.1536833941936493,60,0.0287278413772583,0.7240618020866091,0.7342595165323702,0.05007310211658478,60,0.05563252791762352
transformer.single_transformer_blocks.16,single,16,0.156114399433136,0.7478396768348308,0.826618505140317,0.16384699940681458,60,-0.061633956432342527,0.6655342463831446,0.6438455126424008,0.032426707446575165,60,0.08613922446966171
transformer.single_transformer_blocks.17,single,17,0.1140171766281128,0.7712117429213227,0.8391219783273134,0.18490105867385864,60,-0.20316064357757568,0.631389825690202,0.6162823006390665,0.009044867008924484,60,0.05751553922891617
