site,stack,block,r2_brightness,cv_pearson_brightness,cv_spearman_brightness,stability_cos_brightness,n_brightness,r2_decay,cv_pearson_decay,cv_spearman_decay,stability_cos_decay,n_decay,cross_cosine
transformer.transformer_blocks.0,dual,0,-0.838926539197686,0.6856627422371206,0.7264514378730331,0.7606356739997864,96,-0.835155773394581,-0.2336606369982379,-0.1913185024416712,0.3401320278644562,96,0.203605055809021
transformer.transformer_blocks.1,dual,1,-0.6180292953213193,0.7101946909669244,0.7475990233315246,0.7236713767051697,96,-0.5785291669553513,-0.15959874189657028,-0.13446825827455236,0.06951987743377686,96,0.17792686820030212
transformer.transformer_blocks.2,dual,2,-0.5898151629409025,0.697067756129314,0.7379137276180141,0.7589609622955322,96,-0.6115231836927023,-0.21160434757538388,-0.18136190992946283,0.24891960620880127,96,0.20433534681797028
transformer.transformer_blocks.3,dual,3,-0.9305623759396049,0.6907004259815339,0.7229788388497016,0.693513035774231,96,-0.5704809577336695,-0.02401470508854381,-0.033233857840477485,0.013143920339643955,96,0.22417624294757843
transformer.transformer_blocks.4,dual,4,-0.6845149601001281,0.6645348249024069,0.6882121540965818,0.7355284690856934,96,-0.47791101480288345,0.06213084933105471,0.016684753119913184,0.07939577847719193,96,0.22063088417053223
transformer.transformer_blocks.5,dual,5,-0.6517696335653977,0.6083213817806132,0.6249186109603907,0.6215697526931763,96,-0.3989889172242409,0.03570218186061921,-0.020835594139989148,0.056703001260757446,96,0.22968262434005737
transformer.single_transformer_blocks.0,single,0,-0.7372592668133177,0.571522829550743,0.5920510037981551,0.6444288492202759,96,-0.32293235278755195,0.08230844595301323,0.02555615843733044,0.16766470670700073,96,0.21262799203395844
transformer.single_transformer_blocks.1,single,1,-0.9320247698263311,0.5605189781556992,0.5843190450352685,0.6589056253433228,96,-0.5313342267624857,-0.09047001463009594,-0.15747422680412373,0.11215054988861084,96,0.17835773527622223
transformer.single_transformer_blocks.2,single,2,-0.8471024549362273,0.5495911397328352,0.5711204557786218,0.7782796621322632,96,-0.4345363249347988,-0.07979018212756132,-0.11181497558328812,0.29825541377067566,96,0.22477960586547852
transformer.single_transformer_blocks.3,single,3,-1.1416646556137513,0.544934817568542,0.5593190450352685,0.7474737167358398,96,-0.4552871849892314,-0.14743293791051906,-0.15005425935973957,0.27393460273742676,96,0.21868093311786652
transformer.single_transformer_blocks.4,single,4,-1.148567351419788,0.5296861365267392,0.54328540423223,0.6519927382469177,96,-0.5581503191674376,-0.14723573584006983,-0.1598887683125339,0.2666003704071045,96,0.18846605718135834
transformer.single_transformer_blocks.5,single,5,-1.404074822255653,0.5048228156821698,0.5035811177428107,0.791537880897522,96,-0.4470586056453231,-0.09066032567667971,-0.13851058057514923,0.29962217807769775,96,0.19408617913722992
transformer.single_transformer_blocks.6,single,6,-1.4172083628366707,0.48991349438355003,0.49074877916440585,0.7561057806015015,96,-0.3993442428830877,-0.04788452496996383,-0.10344546934346176,0.45810428261756897,96,0.1882803589105606
transformer.single_transformer_blocks.7,single,7,-1.5565643835783178,0.4913032580554492,0.510485621269669,0.7485621571540833,96,-0.37329520620526657,-0.05898565486369789,-0.13296256104177973,0.3951967656612396,96,0.22436140477657318
transformer.single_transformer_blocks.8,single,8,-1.7566193181520062,0.4319778017711664,0.4533640803038524,0.5575695633888245,96,-0.2808682124856384,-0.031202339020998504,-0.036041779706999455,0.3019716739654541,96,0.1992773860692978
transformer.single_transformer_blocks.9,single,9,-1.567952374040281,0.43324107827635494,0.470849158979924,0.5002608299255371,96,-0.41398306047383626,-0.151357906345896,-0.15307921866521976,0.35311463475227356,96,0.16970741748809814
transformer.single_transformer_blocks.10,single,10,-1.2996933697524728,0.48928668095426486,0.5431361909929463,0.6131798028945923,96,-0.4488923453024659,-0.11127368259781194,-0.16527400976668472,0.09476839005947113,96,0.17466457188129425
transformer.single_transformer_blocks.11,single,11,-1.3987159448294406,0.48260329117562656,0.5311313076505697,0.4784483015537262,96,-0.4429284440243754,-0.10882816529284309,-0.1438279978296256,0.159371018409729,96,0.23639318346977234
transformer.single_transformer_blocks.12,single,12,-1.3892179622687666,0.4783226159754114,0.5211068909386869,0.4763326942920685,96,-0.4729819443294458,-0.12306745084910224,-0.17805208898534997,0.18204520642757416,96,0.21554440259933472
transformer.single_transformer_blocks.13,single,13,-1.2555351854535661,0.5225338551659011,0.5441671188279978,0.7255658507347107,96,-0.44074831451636687,-0.023934912513159275,-0.14902333152468802,0.16170476377010345,96,0.1995014101266861
transformer.single_transformer_blocks.14,single,14,-1.1065836790134738,0.5182305988927368,0.5417797069994574,0.6323592066764832,96,-0.41999739617813053,-0.03515884344070142,-0.18685567010309279,0.18416038155555725,96,0.20713269710540771
transformer.single_transformer_blocks.15,single,15,-0.9279669776377333,0.5260172009722239,0.5660879001627781,0.667260468006134,96,-0.37717300255084313,0.005580252908227535,-0.14658166033640804,0.21131056547164917,96,0.22327207028865814
transformer.single_transformer_blocks.16,single,16,-1.4807904720382572,0.47395927408059496,0.5036082474226804,0.7193754315376282,96,-0.363512194659631,-0.00840034135289652,-0.183898534997287,0.26160308718681335,96,0.20414817333221436
transformer.single_transformer_blocks.17,single,17,-1.4238751522932331,0.47411481113140225,0.5201302224633749,0.6405006051063538,96,-0.35119287288818385,-0.004289357518274615,-0.17280249593054803,0.2411547601222992,96,0.21894215047359467
