site,stack,block,r2_loudness,cv_pearson_loudness,cv_spearman_loudness,stability_cos_loudness,n_loudness
transformer.transformer_blocks.0,dual,0,-0.6875083087817713,0.3878286641030988,0.494680170882734,0.245030477643013,250
transformer.transformer_blocks.1,dual,1,-0.950375081975349,0.43811516768253733,0.5160731531704507,0.0848918929696083,250
transformer.transformer_blocks.2,dual,2,-1.129751606579782,0.39886742674808384,0.4696045696731147,0.07417622953653336,250
transformer.transformer_blocks.3,dual,3,-2.187307801410551,0.2785724839183615,0.297898526376422,0.1764037311077118,250
transformer.transformer_blocks.4,dual,4,-2.1795560439602273,0.2824804739339648,0.30505716891470264,0.15516316890716553,250
transformer.transformer_blocks.5,dual,5,-3.901885682814212,0.23585511583888216,0.26740459847357556,0.15143132209777832,250
transformer.single_transformer_blocks.0,single,0,-3.236764625449149,0.26081158542786426,0.30009350549608793,0.0416393056511879,250
transformer.single_transformer_blocks.1,single,1,-2.2984587963306673,0.3096029405391978,0.3605299284788556,0.08049586415290833,250
transformer.single_transformer_blocks.2,single,2,-4.0666842844378674,0.24188784668129643,0.293953247251956,0.05240330472588539,250
transformer.single_transformer_blocks.3,single,3,-2.616276444032072,0.26982864395433975,0.33219257908126526,0.08307693898677826,250
transformer.single_transformer_blocks.4,single,4,-3.4003471683080972,0.2704527971922285,0.3634360869773916,0.049431875348091125,250
transformer.single_transformer_blocks.5,single,5,-3.8775408873699577,0.26365422843270214,0.33410416166658663,0.04521678388118744,250
transformer.single_transformer_blocks.6,single,6,-3.0351275870107104,0.23142476785709995,0.28052378438055003,0.057201534509658813,250
transformer.single_transformer_blocks.7,single,7,-3.298417875855967,0.27857400682868017,0.354957231315701,0.06499207764863968,250
transformer.single_transformer_blocks.8,single,8,-5.21855317593067,0.218965195054619,0.3142379878078049,0.021194148808717728,250
transformer.single_transformer_blocks.9,single,9,-7.236446704860102,0.2157544758623983,0.31589151826429224,0.06805557012557983,250
transformer.single_transformer_blocks.10,single,10,-6.033173409558695,0.24155210449755452,0.3598341093457495,0.049645550549030304,250
transformer.single_transformer_blocks.11,single,11,-5.529122135309071,0.23960483499613458,0.3243573177170835,0.08855762332677841,250
transformer.single_transformer_blocks.12,single,12,-5.7914883985624055,0.23424106896940208,0.31307828925262804,0.07028267532587051,250
transformer.single_transformer_blocks.13,single,13,-5.586044285435916,0.25204742322902646,0.3336710027360438,0.08301487565040588,250
transformer.single_transformer_blocks.14,single,14,-5.5781634862666145,0.23762743785791135,0.3301035856573705,0.060508936643600464,250
transformer.single_transformer_blocks.15,single,15,-4.077094294979058,0.21167910702483375,0.3300091201459223,0.06763838976621628,250
transformer.single_transformer_blocks.16,single,16,-3.9536712896441863,0.2304254156399306,0.28556424902798444,0.07421062141656876,250
transformer.single_transformer_blocks.17,single,17,-3.702154037151795,0.24139950007235522,0.31980530888494213,0.10240617394447327,250
