site,stack,block,decode_accuracy,decode_accuracy_std,n,r2_onset_strength_max,r2_onset_strength_max_std,n_onset_strength_max,r2_decay_time_to_minus_20db_ms,r2_decay_time_to_minus_20db_ms_std,n_decay_time_to_minus_20db_ms,r2_tail_energy_fraction_500ms,r2_tail_energy_fraction_500ms_std,n_tail_energy_fraction_500ms,r2_spectral_centroid_mean_hz,r2_spectral_centroid_mean_hz_std,n_spectral_centroid_mean_hz,r2_high_to_low_db,r2_high_to_low_db_std,n_high_to_low_db
transformer.transformer_blocks.0,dual,0,0.85,0.1224744871391589,40,-1.3739427970134515,1.6214795173601473,38,-2.067582219296157,1.3133210948481293,38,-3.4105841579355833,3.4169312637585985,38,-0.09865897849312502,0.905375585545366,38,0.21901603891995441,0.1238636240196962,38
transformer.transformer_blocks.1,dual,1,0.9,0.1457737973711325,40,-0.7016301302433641,0.9724398267108348,38,-1.8562836337273587,1.4139308601408318,38,-2.780370222636344,2.717696692886796,38,0.27540104587914327,0.5123629345701983,38,0.4696054204627792,0.10670924962995498,38
transformer.transformer_blocks.2,dual,2,0.925,0.15,40,-0.9651698971442813,1.3114326087514294,38,-1.7674578456705832,1.3290458563057004,38,-2.827761148456478,3.1151591754572605,38,0.2668398762829231,0.6236710521826346,38,0.4694653784598842,0.09083257682977244,38
transformer.transformer_blocks.3,dual,3,0.95,0.09999999999999999,40,0.34232127072191054,0.32749019704552107,38,-0.5594747260490321,0.7800531265128899,38,-0.4156838201787571,0.6119144753691932,38,0.37265887551128907,0.29638268820360886,38,0.5264637303267556,0.07349816999221179,38
transformer.transformer_blocks.4,dual,4,0.925,0.15,40,0.31027422722374837,0.16729792121068335,38,0.011787601786489476,0.43242618512356557,38,-0.625941748968754,0.9712677561984309,38,0.3407987724017653,0.2437606848948123,38,0.5979418275850079,0.11800003245104818,38
transformer.transformer_blocks.5,dual,5,0.925,0.09999999999999999,40,0.11199528559052366,0.46507106890709626,38,-0.02269005889822473,0.43059730637190535,38,-0.49251527714067433,0.7824238767710138,38,0.2810663473899787,0.32548944761957227,38,0.5090612951119209,0.19917667496174646,38
transformer.single_transformer_blocks.0,single,0,0.925,0.09999999999999999,40,0.13135607223326468,0.4191658059711867,38,0.21286281313591388,0.3807015711387563,38,-0.19909425061789104,0.4885710385174484,38,0.24306029285033848,0.3368735748473898,38,0.46300496941384794,0.21486921778648943,38
transformer.single_transformer_blocks.1,single,1,0.925,0.09999999999999999,40,0.09101234019131939,0.5390980911474262,38,0.16052996001934816,0.46050945116264447,38,-0.4894451304395675,0.6878701163376224,38,0.3508984056314556,0.24969790666143826,38,0.4859841778435741,0.07342110027633612,38
transformer.single_transformer_blocks.2,single,2,0.95,0.06123724356957946,40,0.2885118758698411,0.18760515267639155,38,0.1774017475049553,0.4838231639318175,38,-0.352797358743464,0.5981222611854395,38,0.4118606624349111,0.22878161674894365,38,0.5205843282932372,0.052747823629231735,38
transformer.single_transformer_blocks.3,single,3,0.925,0.09999999999999999,40,0.3141591872488163,0.2027556284654796,38,0.16819347920215655,0.499098521191122,38,-0.4949742230398725,0.9315311525979354,38,0.451601365234555,0.2157744640914784,38,0.5182921627488415,0.0683556447682943,38
transformer.single_transformer_blocks.4,single,4,0.875,0.13693063937629152,40,0.265797004805245,0.2302328182356084,38,0.19508648829541436,0.357634508159183,38,-0.5312989139696769,0.8667402335063071,38,0.428330791950977,0.22123820994457505,38,0.4336397171658607,0.1506051062655694,38
transformer.single_transformer_blocks.5,single,5,0.925,0.09999999999999999,40,0.2520159363434358,0.2784570807795088,38,0.20268257083817282,0.3611221165744956,38,-0.5474016821567416,0.7153650388326419,38,0.43499245967610867,0.2518604976197731,38,0.43366420052074883,0.2557723327344681,38
transformer.single_transformer_blocks.6,single,6,0.95,0.06123724356957946,40,0.26645473848330364,0.24017102054779044,38,0.1741203073983168,0.3719319159179289,38,-0.8551099474011752,0.9446781662943551,38,0.4128589472282682,0.2559997530655042,38,0.43366124080252283,0.18962434935920766,38
transformer.single_transformer_blocks.7,single,7,0.925,0.09999999999999999,40,0.25138606344356895,0.23072830445224898,38,0.029276420526334702,0.4425815291573242,38,-0.6480457062150201,0.8297674358459549,38,0.3449064064390717,0.250486858280007,38,0.2431730796663217,0.38010579366081687,38
transformer.single_transformer_blocks.8,single,8,0.9,0.09354143466934853,40,0.3480792927290106,0.2966463709079391,38,-0.02241751880330285,0.3968149700907462,38,-0.9546615231511287,1.0804643322990564,38,0.2936500640738767,0.26080422317980034,38,0.14167174819417494,0.6252731647922737,38
transformer.single_transformer_blocks.9,single,9,0.85,0.09354143466934853,40,0.29729092800450413,0.4684643958068026,38,-0.5169726555521725,0.7306049407294314,38,-0.9656902275221654,1.2053458161712092,38,0.2288893167868639,0.2955347182317113,38,-0.11415372681339672,0.6037743079459758,38
