job_id,pair_id,side,concept,sample_index,seed,duration,steps,guidance_scale,prompt,wav_path,sample_rate,elapsed_seconds,model_name,status,error
01-positive-sample-000-seed-601,01,positive,percussive_sustained,0,601,3.5,50,4.0,a percussive wooden block is struck once,/outputs/percussive-sustained-v1/01/positive/01-positive-sample-000-seed-601.wav,44100,20.409,declare-lab/TangoFlux,ok,
01-negative-sample-000-seed-601,01,negative,percussive_sustained,0,601,3.5,50,4.0,a sustained bowed wooden instrument note,/outputs/percussive-sustained-v1/01/negative/01-negative-sample-000-seed-601.wav,44100,19.919,declare-lab/TangoFlux,ok,
02-positive-sample-000-seed-602,02,positive,percussive_sustained,0,602,3.5,50,4.0,a percussive snare drum hit once,/outputs/percussive-sustained-v1/02/positive/02-positive-sample-000-seed-602.wav,44100,18.79,declare-lab/TangoFlux,ok,
02-negative-sample-000-seed-602,02,negative,percussive_sustained,0,602,3.5,50,4.0,a sustained violin note held steadily,/outputs/percussive-sustained-v1/02/negative/02-negative-sample-000-seed-602.wav,44100,17.015,declare-lab/TangoFlux,ok,
03-positive-sample-000-seed-603,03,positive,percussive_sustained,0,603,3.5,50,4.0,a percussive hand clap once,/outputs/percussive-sustained-v1/03/positive/03-positive-sample-000-seed-603.wav,44100,21.805,declare-lab/TangoFlux,ok,
03-negative-sample-000-seed-603,03,negative,percussive_sustained,0,603,3.5,50,4.0,a sustained choir vowel held softly,/outputs/percussive-sustained-v1/03/negative/03-negative-sample-000-seed-603.wav,44100,18.085,declare-lab/TangoFlux,ok,
04-positive-sample-000-seed-604,04,positive,percussive_sustained,0,604,3.5,50,4.0,a percussive metal rim click once,/outputs/percussive-sustained-v1/04/positive/04-positive-sample-000-seed-604.wav,44100,19.214,declare-lab/TangoFlux,ok,
04-negative-sample-000-seed-604,04,negative,percussive_sustained,0,604,3.5,50,4.0,a sustained metal bowl ringing tone,/outputs/percussive-sustained-v1/04/negative/04-negative-sample-000-seed-604.wav,44100,22.447,declare-lab/TangoFlux,ok,
05-positive-sample-000-seed-605,05,positive,percussive_sustained,0,605,3.5,50,4.0,a percussive drumstick taps a table once,/outputs/percussive-sustained-v1/05/positive/05-positive-sample-000-seed-605.wav,44100,24.448,declare-lab/TangoFlux,ok,
05-negative-sample-000-seed-605,05,negative,percussive_sustained,0,605,3.5,50,4.0,a sustained flute note held in the air,/outputs/percussive-sustained-v1/05/negative/05-negative-sample-000-seed-605.wav,44100,25.628,declare-lab/TangoFlux,ok,
06-positive-sample-000-seed-606,06,positive,percussive_sustained,0,606,3.5,50,4.0,a percussive footstep lands once on tile,/outputs/percussive-sustained-v1/06/positive/06-positive-sample-000-seed-606.wav,44100,2.179,declare-lab/TangoFlux,ok,
06-negative-sample-000-seed-606,06,negative,percussive_sustained,0,606,3.5,50,4.0,a sustained organ chord held gently,/outputs/percussive-sustained-v1/06/negative/06-negative-sample-000-seed-606.wav,44100,1.944,declare-lab/TangoFlux,ok,
07-positive-sample-000-seed-607,07,positive,percussive_sustained,0,607,3.5,50,4.0,a percussive book slams shut once,/outputs/percussive-sustained-v1/07/positive/07-positive-sample-000-seed-607.wav,44100,2.036,declare-lab/TangoFlux,ok,
07-negative-sample-000-seed-607,07,negative,percussive_sustained,0,607,3.5,50,4.0,a sustained cello note held warmly,/outputs/percussive-sustained-v1/07/negative/07-negative-sample-000-seed-607.wav,44100,2.18,declare-lab/TangoFlux,ok,
08-positive-sample-000-seed-608,08,positive,percussive_sustained,0,608,3.5,50,4.0,a percussive pencil taps a desk once,/outputs/percussive-sustained-v1/08/positive/08-positive-sample-000-seed-608.wav,44100,2.767,declare-lab/TangoFlux,ok,
08-negative-sample-000-seed-608,08,negative,percussive_sustained,0,608,3.5,50,4.0,a sustained sine tone held steadily,/outputs/percussive-sustained-v1/08/negative/08-negative-sample-000-seed-608.wav,44100,2.224,declare-lab/TangoFlux,ok,
09-positive-sample-000-seed-609,09,positive,percussive_sustained,0,609,3.5,50,4.0,a percussive clapboard claps once,/outputs/percussive-sustained-v1/09/positive/09-positive-sample-000-seed-609.wav,44100,1.82,declare-lab/TangoFlux,ok,
