status,error,job_id,steered_job_id,pair_id,side,site,stack,block,scale,token_window_label,token_start,token_end,audio_tokens,token_start_fraction,token_end_fraction,segment_label,segment_start_fraction,segment_end_fraction,segment_overlap_fraction,segment_inside_token_window,clip_spectral_centroid_mean_hz,rms_dbfs,duration,steps,guidance_scale,seed,prompt,wav_path,elapsed_seconds,spectral_centroid_mean_hz,spectral_centroid_median_hz,segment_start_sample,segment_end_sample
ok,,bright-s00-l3-single-sample-000-seed-7003,bright-s00-l3-single-sample-000-seed-7003_transformer_blocks-3_first_half_s0p0,bright-s00-l3,single,transformer.transformer_blocks.3,dual,3,0.0,first_half,0,322,645,0.0,0.5,q1,0.0,0.25,1.0,True,5753.67578125,-83.03871656108774,3.5,50,4.0,7003,a neutral and balanced synth pad,/outputs/time-localized-brightness-steer-v1/bright-s00-l3/single/bright-s00-l3-single-sample-000-seed-7003-transformer-blocks-3-first-half-s0p0.wav,28.868,6392.416015625,6422.20556640625,0,38588
ok,,bright-s00-l3-single-sample-000-seed-7003,bright-s00-l3-single-sample-000-seed-7003_transformer_blocks-3_first_half_s0p0,bright-s00-l3,single,transformer.transformer_blocks.3,dual,3,0.0,first_half,0,322,645,0.0,0.5,q2,0.25,0.5,1.0,True,5753.67578125,-83.03871656108774,3.5,50,4.0,7003,a neutral and balanced synth pad,/outputs/time-localized-brightness-steer-v1/bright-s00-l3/single/bright-s00-l3-single-sample-000-seed-7003-transformer-blocks-3-first-half-s0p0.wav,28.87,4831.9267578125,4796.54345703125,38588,77175
ok,,bright-s00-l3-single-sample-000-seed-7003,bright-s00-l3-single-sample-000-seed-7003_transformer_blocks-3_first_half_s0p0,bright-s00-l3,single,transformer.transformer_blocks.3,dual,3,0.0,first_half,0,322,645,0.0,0.5,q3,0.5,0.75,0.0,False,5753.67578125,-83.03871656108774,3.5,50,4.0,7003,a neutral and balanced synth pad,/outputs/time-localized-brightness-steer-v1/bright-s00-l3/single/bright-s00-l3-single-sample-000-seed-7003-transformer-blocks-3-first-half-s0p0.wav,28.871,5738.45068359375,5440.37353515625,77175,115762
ok,,bright-s00-l3-single-sample-000-seed-7003,bright-s00-l3-single-sample-000-seed-7003_transformer_blocks-3_first_half_s0p0,bright-s00-l3,single,transformer.transformer_blocks.3,dual,3,0.0,first_half,0,322,645,0.0,0.5,q4,0.75,1.0,0.0,False,5753.67578125,-83.03871656108774,3.5,50,4.0,7003,a neutral and balanced synth pad,/outputs/time-localized-brightness-steer-v1/bright-s00-l3/single/bright-s00-l3-single-sample-000-seed-7003-transformer-blocks-3-first-half-s0p0.wav,28.872,6033.951171875,6317.6181640625,115762,154350
ok,,bright-s00-l3-single-sample-000-seed-7003,bright-s00-l3-single-sample-000-seed-7003_transformer_blocks-3_first_half_s1p0,bright-s00-l3,single,transformer.transformer_blocks.3,dual,3,1.0,first_half,0,322,645,0.0,0.5,q1,0.0,0.25,1.0,True,5665.12353515625,-82.63026458178679,3.5,50,4.0,7003,a neutral and balanced synth pad,/outputs/time-localized-brightness-steer-v1/bright-s00-l3/single/bright-s00-l3-single-sample-000-seed-7003-transformer-blocks-3-first-half-s1p0.wav,36.078,6290.16748046875,6329.91943359375,0,38588
ok,,bright-s00-l3-single-sample-000-seed-7003,bright-s00-l3-single-sample-000-seed-7003_transformer_blocks-3_first_half_s1p0,bright-s00-l3,single,transformer.transformer_blocks.3,dual,3,1.0,first_half,0,322,645,0.0,0.5,q2,0.25,0.5,1.0,True,5665.12353515625,-82.63026458178679,3.5,50,4.0,7003,a neutral and balanced synth pad,/outputs/time-localized-brightness-steer-v1/bright-s00-l3/single/bright-s00-l3-single-sample-000-seed-7003-transformer-blocks-3-first-half-s1p0.wav,36.079,4747.97998046875,4742.46142578125,38588,77175
ok,,bright-s00-l3-single-sample-000-seed-7003,bright-s00-l3-single-sample-000-seed-7003_transformer_blocks-3_first_half_s1p0,bright-s00-l3,single,transformer.transformer_blocks.3,dual,3,1.0,first_half,0,322,645,0.0,0.5,q3,0.5,0.75,0.0,False,5665.12353515625,-82.63026458178679,3.5,50,4.0,7003,a neutral and balanced synth pad,/outputs/time-localized-brightness-steer-v1/bright-s00-l3/single/bright-s00-l3-single-sample-000-seed-7003-transformer-blocks-3-first-half-s1p0.wav,36.08,5640.8134765625,5342.9794921875,77175,115762
ok,,bright-s00-l3-single-sample-000-seed-7003,bright-s00-l3-single-sample-000-seed-7003_transformer_blocks-3_first_half_s1p0,bright-s00-l3,single,transformer.transformer_blocks.3,dual,3,1.0,first_half,0,322,645,0.0,0.5,q4,0.75,1.0,0.0,False,5665.12353515625,-82.63026458178679,3.5,50,4.0,7003,a neutral and balanced synth pad,/outputs/time-localized-brightness-steer-v1/bright-s00-l3/single/bright-s00-l3-single-sample-000-seed-7003-transformer-blocks-3-first-half-s1p0.wav,36.081,5960.39599609375,6185.5849609375,115762,154350
ok,,bright-s00-l3-single-sample-000-seed-7003,bright-s00-l3-single-sample-000-seed-7003_transformer_blocks-3_first_half_s2p0,bright-s00-l3,single,transformer.transformer_blocks.3,dual,3,2.0,first_half,0,322,645,0.0,0.5,q1,0.0,0.25,1.0,True,5541.74072265625,-82.19193156011667,3.5,50,4.0,7003,a neutral and balanced synth pad,/outputs/time-localized-brightness-steer-v1/bright-s00-l3/single/bright-s00-l3-single-sample-000-seed-7003-transformer-blocks-3-first-half-s2p0.wav,29.191,6153.00634765625,6151.75634765625,0,38588
ok,,bright-s00-l3-single-sample-000-seed-7003,bright-s00-l3-single-sample-000-seed-7003_transformer_blocks-3_first_half_s2p0,bright-s00-l3,single,transformer.transformer_blocks.3,dual,3,2.0,first_half,0,322,645,0.0,0.5,q2,0.25,0.5,1.0,True,5541.74072265625,-82.19193156011667,3.5,50,4.0,7003,a neutral and balanced synth pad,/outputs/time-localized-brightness-steer-v1/bright-s00-l3/single/bright-s00-l3-single-sample-000-seed-7003-transformer-blocks-3-first-half-s2p0.wav,29.193,4644.67626953125,4676.013671875,38588,77175
ok,,bright-s00-l3-single-sample-000-seed-7003,bright-s00-l3-single-sample-000-seed-7003_transformer_blocks-3_first_half_s2p0,bright-s00-l3,single,transformer.transformer_blocks.3,dual,3,2.0,first_half,0,322,645,0.0,0.5,q3,0.5,0.75,0.0,False,5541.74072265625,-82.19193156011667,3.5,50,4.0,7003,a neutral and balanced synth pad,/outputs/time-localized-brightness-steer-v1/bright-s00-l3/single/bright-s00-l3-single-sample-000-seed-7003-transformer-blocks-3-first-half-s2p0.wav,29.194,5446.763671875,5164.841796875,77175,115762
ok,,bright-s00-l3-single-sample-000-seed-7003,bright-s00-l3-single-sample-000-seed-7003_transformer_blocks-3_first_half_s2p0,bright-s00-l3,single,transformer.transformer_blocks.3,dual,3,2.0,first_half,0,322,645,0.0,0.5,q4,0.75,1.0,0.0,False,5541.74072265625,-82.19193156011667,3.5,50,4.0,7003,a neutral and balanced synth pad,/outputs/time-localized-brightness-steer-v1/bright-s00-l3/single/bright-s00-l3-single-sample-000-seed-7003-transformer-blocks-3-first-half-s2p0.wav,29.195,5900.55078125,6222.744140625,115762,154350
ok,,bright-s00-l3-single-sample-000-seed-7003,bright-s00-l3-single-sample-000-seed-7003_transformer_blocks-3_first_half_s4p0,bright-s00-l3,single,transformer.transformer_blocks.3,dual,3,4.0,first_half,0,322,645,0.0,0.5,q1,0.0,0.25,1.0,True,5320.09375,-81.35459028704302,3.5,50,4.0,7003,a neutral and balanced synth pad,/outputs/time-localized-brightness-steer-v1/bright-s00-l3/single/bright-s00-l3-single-sample-000-seed-7003-transformer-blocks-3-first-half-s4p0.wav,27.35,5858.53173828125,5671.322265625,0,38588
ok,,bright-s00-l3-single-sample-000-seed-7003,bright-s00-l3-single-sample-000-seed-7003_transformer_blocks-3_first_half_s4p0,bright-s00-l3,single,transformer.transformer_blocks.3,dual,3,4.0,first_half,0,322,645,0.0,0.5,q2,0.25,0.5,1.0,True,5320.09375,-81.35459028704302,3.5,50,4.0,7003,a neutral and balanced synth pad,/outputs/time-localized-brightness-steer-v1/bright-s00-l3/single/bright-s00-l3-single-sample-000-seed-7003-transformer-blocks-3-first-half-s4p0.wav,27.352,4437.71240234375,4488.92138671875,38588,77175
ok,,bright-s00-l3-single-sample-000-seed-7003,bright-s00-l3-single-sample-000-seed-7003_transformer_blocks-3_first_half_s4p0,bright-s00-l3,single,transformer.transformer_blocks.3,dual,3,4.0,first_half,0,322,645,0.0,0.5,q3,0.5,0.75,0.0,False,5320.09375,-81.35459028704302,3.5,50,4.0,7003,a neutral and balanced synth pad,/outputs/time-localized-brightness-steer-v1/bright-s00-l3/single/bright-s00-l3-single-sample-000-seed-7003-transformer-blocks-3-first-half-s4p0.wav,27.353,5192.92919921875,4824.92919921875,77175,115762
ok,,bright-s00-l3-single-sample-000-seed-7003,bright-s00-l3-single-sample-000-seed-7003_transformer_blocks-3_first_half_s4p0,bright-s00-l3,single,transformer.transformer_blocks.3,dual,3,4.0,first_half,0,322,645,0.0,0.5,q4,0.75,1.0,0.0,False,5320.09375,-81.35459028704302,3.5,50,4.0,7003,a neutral and balanced synth pad,/outputs/time-localized-brightness-steer-v1/bright-s00-l3/single/bright-s00-l3-single-sample-000-seed-7003-transformer-blocks-3-first-half-s4p0.wav,27.353,5761.40234375,5980.7646484375,115762,154350
ok,,bright-s00-l3-single-sample-000-seed-7003,bright-s00-l3-single-sample-000-seed-7003_transformer_blocks-3_middle_half_s0p0,bright-s00-l3,single,transformer.transformer_blocks.3,dual,3,0.0,middle_half,161,484,645,0.25,0.75,q1,0.0,0.25,0.0,False,5753.67578125,-83.03871656108774,3.5,50,4.0,7003,a neutral and balanced synth pad,/outputs/time-localized-brightness-steer-v1/bright-s00-l3/single/bright-s00-l3-single-sample-000-seed-7003-transformer-blocks-3-middle-half-s0p0.wav,28.882,6392.416015625,6422.20556640625,0,38588
ok,,bright-s00-l3-single-sample-000-seed-7003,bright-s00-l3-single-sample-000-seed-7003_transformer_blocks-3_middle_half_s0p0,bright-s00-l3,single,transformer.transformer_blocks.3,dual,3,0.0,middle_half,161,484,645,0.25,0.75,q2,0.25,0.5,1.0,True,5753.67578125,-83.03871656108774,3.5,50,4.0,7003,a neutral and balanced synth pad,/outputs/time-localized-brightness-steer-v1/bright-s00-l3/single/bright-s00-l3-single-sample-000-seed-7003-transformer-blocks-3-middle-half-s0p0.wav,28.884,4831.9267578125,4796.54345703125,38588,77175
